kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3313054,28/12/2012,RS Umum Indo Sehat Karangayar,RSU,D,"dr. Hj. Mintarsih T, M.M",JL. Raya Solo - Sragen KM. 11,Swasta/Lainnya,Karanganyar,57761,02717881202,-,19/09/2018
7371408,09/01/2015,RS Universitas Hasanuddin,RSU,B,"Dr.dr.Syafri K. Arif,Sp.AN.,KIC,KAKV",Jl. Perintis Kemerdekaan KM 11 Tamalanrea,Kementerian Lain,Kota Makassar,90245,(0411)-591331,(0411)-591332,19/09/2018
1407013,14/05/2014,RS Umum  Azzahra,RSU,D,dr. Yuni Astria,Jl Rambutan no 3 Ujung batu Kab Rokan Hulu,Swasta/Lainnya,Rokan Hulu,28454,0762-61177,(0762)61356,19/09/2018
3276152,06/09/2014,RS Umum Citra Medika Depok,RSU,C,dr. R. Dwinanto Ariwibowo,"Jl. Raya Kalimulya No. 68,",Swasta/Lainnya,Kota Depok,16471,021---29671000,021---29678000,19/09/2018
1275924,06/12/2017,RS Umum Gran Theresia Herna,RSU,D,dr. Deddy Bob P Sitohang,"Jl. Bersama/ Tapian Nauli No. 8 Pasar 3 Ringroad Medan Sunggal, Sumatera Utara",Swasta/Lainnya,Kota Medan,20133,061-8459900,-,19/09/2018
3208061,09/07/2018,RS Jantung Hasna Medika Kuningan,RS Jantung,C,"dr. Dedi Wahyudi, MARS.",Jl. Raya Cigugur Lingkungan Manis RT. 030 RW. 011 Kecamatan Cigugur,Perusahaan,Kuningan,45552,02328611111,-,19/09/2018
3173656,18/09/2018,RS Umum Mitra Kemayoran,RSU,B,"Dr. Margareta Susi Widiastuti, MPH",Jl. Landas Pacu Timur Kemayoran,Swasta/Lainnya,Kota Jakarta Pusat,10630,021-6545555,021-6545959,18/09/2018
3372030,19/07/2017,RS Umum Tk IV Slamet Riyadi Surakarta,RSU,C,"dr.  Oedjang Setijawan, Msi Med, Sp.B","Jl. Slamet Riyadi 321,Surakarta",TNI AD,Kota Surakarta,57142,0271-714656,0271-726700,18/09/2018
3572043,11/05/2012,RS Umum Syuhada Haji,RSU,D,Dr. H. Mafrurrochim Hasyim,Jl. Tanjung No.158 Pakunden Kota Blitar,Swasta/Lainnya,Kota Blitar,0342,801607,809330,18/09/2018
7173036,03/03/2018,RS Bethesda GMIM Tomohon,RSU,C,"dr. Franky V. T Kambey, M. Kes",Jl. Raya Tomohon,Organisasi Protestan,Kota Tomohon,95441,0431-351046,0431-352712,18/09/2018
1408079,14/12/2014,RS Umum  Thursina,RSU,D,dr. Resfaldi Putra,Jl Hangtuah No. 93,Swasta/Lainnya,Bengkalis,28784,0765-597782,0765-597783,18/09/2018
3216415,10/12/2013,RS Umum Ridhoka Salma,RSU,C,"Dr.M. Ronike Yunus Putra, SpP, M.Kes, MA",Jl. Raya Imam Bonjol No 7 Cikarang Barat,Swasta/Lainnya,Bekasi,17530,021-89116527,021-89116528,18/09/2018
1602015,07/06/2018,RS Pratama Tugu Jaya,RSU,D Pratama,"PAMUJI, SKM, M.si","Jl. Lintas Timur, Desa Tugu Jaya, Kecamatan Lempuing Jaya, Ogan Komering Ilir",Pemkab,Ogan Komering Ilir,30657,081272126683,-,18/09/2018
1171026,15/05/2015,RS Tk. II Iskandar Muda Banda Aceh,RSU,B,"dr. Puguh Santoso, Sp.KK",Jl. T. Hamzah Bendahara No. 1 Banda Aceh,TNI AD,Kota Banda Aceh,23290,065124712,065122550,17/09/2018
3309096,24/06/2011,RS Umum Daerah Waras Wiris,RSU,D,dr. Puji Astuti,Jl. Raya Karanggede - Gemolong Km. 13 Andong Kab.Boyolali,Pemkab,Boyolali,57384,0271-2933000,0271-2933000,17/09/2018
3373042,14/12/2013,RS Paru Dr. Ario Wirawan,RSTP,A,"dr. Farida Widayati, M.Kes","Jl. Hasanudin No.806,Salatiga",Kemkes,Kota Salatiga,50701,0298-326130,0298-322703,17/09/2018
7372031,31/12/2007,RS Tk IV 07.07.03 Dr. Sumantri,RSU,C,"drg. Hengki Yudhana,Sp.KG",Jl. Karaeng Buranee No.24 Parepare,TNI AD,Kota Pare-pare,91111,(0421)-21507,(0421)-21507,17/09/2018
5102044,23/08/2018,RS Umum Wisma Prashanti,RSU,C,"Dr. I Made Surya Agung, MARS",Jl. Yeh Gangga No. 9,Swasta/Lainnya,Tabanan,82151,0361-819601,0361-812454,17/09/2018
5103034,26/01/2010,RS Khusus Bedah BIMC Nusa Dua,RSK Bedah,B,"dr. I. A. Made Komala Dewi, MMR",Blok D Kawasan BTDC Nusa Dua Kab. Badung,Swasta/Lainnya,Badung,80361,(0361)300911,(0361)3001150,17/09/2018
