kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3578443,13/08/2015,RS Umum Siloam Hospitals Surabaya,RSU,B,"Dr. Maria M. Padmidewi, SpPK",Jl. Gubeng Raya 70 Surabaya,Swasta/Lainnya,Kota Surabaya,60281,031-5031333,031-5031533,08/05/2018
3279002,29/08/2013,RS Umum Mitra Idaman,RSU,D,"dr. H. Suripto, SpB",Jl. Sudiro W No.57 Kota Banjar,Perusahaan,Kota Banjar,46321,(0265)-743555,(0265)-743555,08/05/2018
1276077,30/04/2018,RS Umum Sylvani,RSU,C,"dr. Dovi Camela Sitepu, M.Kes",Jl Perintis Kemerdekaan No. 21,Perusahaan,Kota Binjai,20748,061-80045925,061-80045923,08/05/2018
1203033,00/00/0000,RS Umum Daerah Tapanuli Selatan,RSU,C,"dr. Meini Basyariah, MM","Jl RSU No.1,Sipirok Tapsel",Pemkab,Tapanuli Selatan,22742,0634-41002,0634-41002,07/05/2018
1207015,29/12/2013,RS Umum Daerah Rantau Prapat,RSU,B,"dr. Syafril Rahmadi Maulana Harahap, SpB","Jl KH Dewantara 129, Rantau Prapat",Pemkab,Labuhan Batu,21415,08126020268,0624-21228,07/05/2018
2071034,10/04/2017,RS Badan Pengusahaan Batam,RSU,B,"Dr. Sigit Riyarto, M.Kes","Jl. Dr. Cipto Mangunkusumo No.1,  Sekupang,Batam",Kementerian Lain,Kota Batam,29428,0778-322121,0778-322165,07/05/2018
3216185,21/01/2015,RS Umum Hosana Medica,RSU,C,"dr. Erik Maruapey, MARS","Jl. BIIE Utama no. 1, Lippo Cikarang",Swasta/Lainnya,Bekasi,17550,021-8972472,021-89900769,07/05/2018
5306016,07/12/2017,RS Umum Daerah MGR Gabriel Manek,RSU,C,drg.Maria Ansilla F. Eka Mutty,Jl. Dr Sutomo No.2 Atambua,Pemkab,Belu,85711,(0389)2513137,(0389)21762,07/05/2018
5310012,17/02/2018,RS Umum Dr TC Hillers Maumere,RSU,C,"dr. Clara Y. Francis,MPH",Jl.Wairklau - Maumere,Pemkab,Sikka,86100,0382-2426133,0382-2426133,07/05/2018
6207012,30/07/2016,RS Umum Daerah Lamandau,RSU,D,"dr. JOZEB HF. RUMOUW, Msi",JL. TRANS KALIMANTAN KM.4,Pemkab,Lamandau,74162,0532-6728322,0532-7628555,07/05/2018
7103015,28/02/2018,RS Umum Liun Kendage,RSU,C,"dr. BLESSING A. ROMPIS, SpB",Jalan Tatehe Kelurahan Apengsembeka Kecamatan Tahuna,Pemkab,Kepulauan Sangihe,95811,0432-24014,0432-24410,07/05/2018
8206012,18/09/2017,RS Umum Daerah Maba,RSU,D,Dr. Dwi Handoko. Sp.P,Jl. Trans Halmahera Kec. Kota Maba,Pemkab,Halmahera Timur,97862,082196507807,-,07/05/2018
1276036,25/02/2015,RS Umum Artha Medica,RSU,C,dr. Maria Ulfa,Binjai Sumatera Utara,Organisasi Sosial,Kota Binjai,20712,061-8827677,061-8830757,07/05/2018
3278018,12/04/2012,RS Umum Syifa Medina,RSU,D,"Dr. Teguh Agus Santoso, MKKK",Jl. Bantar No. 15A Cihideung Kota Tasikmalaya,Swasta/Lainnya,Kota Tasikmalaya,46122,0265---334544,0265---331232,07/05/2018
3505044,13/10/2017,RS Umum Budi Mulyo,RSU,D,dr. Prima Evita. MMR,"Jl. Raya Kesamben Jugo, Kesamben, Kab. Blitar",Swasta/Lainnya,Blitar,66191,0342-331999,0342-331999,07/05/2018
3574023,00/00/0000,RS Umum Dharma Husada,RSU,D,"dr. Rosid Achmad,Sp.PK",Jl. Sukarno Hatta No. 10 Kota Probolinggo,Swasta/Lainnya,Kota Probolinggo,67219,0335-422176,0335-422698,06/05/2018
3201218,02/05/2018,RS Umum Islam Bogor,RSU,C,"Dr. H.M. Djunaidi Ilyas, Sp.PD","Jl. Perdana Raya No.22, Tanah Sareal, Bogor Utara Kota Bogor",Organisasi Sosial,Kota Bogor,16710,0251-8316822,0251-8393339,05/05/2018
3174509,19/02/2012,RS Ibu dan Anak St. Yusuf,RSIA,C,"dr. Josephine Fina Jusuf,MARS",Jl. Ganggeng Raya No. 9 Kel. Sungai Bambu Tanjung Priok,Organisasi Katholik,Kota Jakarta Utara,14330,021-43931880,021-4361330,05/05/2018
1113012,09/09/2009,RS Umum Daerah Gayo Luwes,RSU,C,dr. MUTIA FITRI,"Jl.Pangur-Sangir, Kec Dabun Gelang",Pemkab,Gayo Lues,24653,0642-21633,-,04/05/2018
