kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3326011,00/00/0000,RS Umum Daerah Kraton Kab. Pekalongan,RSU,B,"An. dr. Zaki Mubarok, M.M.","Jl. Veteran 31,Pekalongan",Pemkab,Pekalongan,51116,0285-421621,0285-423225,16/10/2018
5171020,16/10/2018,RS Umum Daerah Wangaya,RSU,B,"dr. Setiawati Hartawan,M.Kes",Jl. Kartini No.133 Denpasar,Pemkot,Kota Denpasar,-,0361-222141,0361-224114,16/10/2018
5171064,14/01/2017,RS Khusus Mata Bali Mandara,RSK Mata,A,"Dr. Ni Made Yuniti, MM",Jl. Angsoka No. 8 Denpasar,Pemprop,Kota Denpasar,80233,0361-243350,0361-228821,16/10/2018
5171133,01/05/2012,RS Umum Puri Raharja,RSU,C,"Dr. I Nyoman Sutedja,MPH",Jl. WR Supratman 14,Organisasi Sosial,Kota Denpasar,80233,0361-222013,0361-242537,16/10/2018
5204013,02/03/2014,RS Umum Sumbawa Besar,RSU,C,dr. DEDE HASAN BASRI,Jl. Garuda No. 5 Sumbawa Besar,Pemkab,Sumbawa,84318,0371-21929,0371-23974,16/10/2018
6106020,31/03/2014,RS Fatima Ketapang,RSU,C,"dr. Margaretha Indah,MPH",Jl. Jend. Sudirman No.27 Ketapang,Organisasi Katholik,Ketapang,78813,0534-32814,0534-31649,16/10/2018
7325016,00/00/0000,RS Umum Daerah I Lagaligo,RSU,C,"dr.HJ. Rosmini Pandin., MARS","Jl. Sangkuruwira,Kec.Wotu Kab.Luwu Timur",Pemkab,Luwu Timur,92971,08114216001,-,16/10/2018
1901044,31/01/2015,RS Umum Daerah DR. Eko Maulana Ali,RSU,D,dr. Aswin Hakim,JL. RAYA BELINYU DUSUN SIMPANG CANGKUM DESA RIDING PANJANG KECAMATAN BELINYU,Pemkab,Bangka,33254,08117176404,-,16/10/2018
7371395,12/12/2014,RS Umum Daerah Daya Kota Makassar,RSU,B,"dr. ARDIN SANI,M KES","Jl. Perintis Kemerdekaan No. 14,Makasar",Pemkot,Kota Makassar,90241,0411-510016,0411-587256,16/10/2018
8171015,22/08/2014,RS Umum Dr. M. Haulussy Ambon,RSU,B,"dr.Justini Pawa, M. Kes",Jl. dr. Kayadoe Ambon,Pemprop,Kota Ambon,97116,0911---344871,0911---353595,16/10/2018
8271016,31/03/2013,RS Umum Daerah Dr. H. Chasan Boesoirie Ternate,RSU,B,"Dr. Syamsul Bahri MS.Hi.Idris,SP.OG.SH.M",Jl. Cempaka Kel.Tanah Tinggi Kota Ternate,Pemprop,Kota Ternate,97715,0921-3121281,0921-3121777,16/10/2018
3313053,04/01/2005,RS Umum Jati Husada,RSU,D,"dr. SRI HARTINI, MM","Jl. Raya Solo - Tawangmangu KM 10,3 Jati, Jaten",Perorangan,Karanganyar,57771,0271-821910,0271-821911,16/10/2018
3505024,05/08/2011,RS Umum  Aulia Blitar,RSU,D,dr. M. Farid Fachrudin,"Jl. Raya Utara No. 3 Kembangarum, Sutojayan, Kab. Blitar",Swasta/Lainnya,Blitar,66172,(0342)-444168,(0342)-444289,16/10/2018
3273145,17/10/2011,RS Umum Hermina Arcamanik,RSU,C,"dr. Ita Roswita, MARS",Jl. A.H. Nasution No. 50 Antapani Kota Bandung,Perusahaan,Kota Bandung,40291,022-87242525,022--7271771,16/10/2018
3571146,22/02/2012,RS Umum Lirboyo,RSU,D,Dr. Ava Adenia Rahmi,"Jl. Dr.Saharjo, Campurejo, Mojoroto, Kota Kediri",Swasta/Lainnya,Kota Kediri,64117,0354---778165,-,16/10/2018
3275392,08/08/2008,RS Umum Awal Bros,RSU,B,"Dr. Prima Yunika, MARS","Jl. KH. Noer Alie Kav. 17-18(kalimalang), Bekasi 17144",Perusahaan,Kota Bekasi,17144,021-8868888,021-8855210,16/10/2018
3516036,10/10/2016,RS Mutiara Hati Mojokerto,RSU,D,drg. Endah Sih Wilujeng,"Jl. Raya Kemantren Wetan No.49, Desa Terusan, Kecamatan Gedeg, Kab. Mojokerto",Swasta/Lainnya,Mojokerto,61351,0321-363442,0321---366186,16/10/2018
8172002,12/11/2013,RS Umum Daerah Maren Kota Tual,RSU,D,Dr.Herlinah Sp.Pk.M.Kes,Jl. Hi Noho Renuat,Pemkot,Kota Tual,97612,-,-,16/10/2018
1671335,19/08/2014,RS Siloam Sriwijaya Palembang,RSU,C,"dr. Harijanto Solaeman, MM",JL.POM IX (KOMPLEK PS MALL) KELURAHAN LOROK PAKJO,Perusahaan,Kota Palembang,30137,0711-5229100,0711-5649100,16/10/2018
