kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3205021,21/07/2013,RS Umum Tk IV Guntur,RSU,C,"MAYOR CKM dr. DEDI HERLAMBANG, Sp.An.MKe",Jl. Bratayuda 101 Garut,TNI AD,Garut,44112,(0262)232325,(0262)235751,30/06/2015
3573215,25/11/2013,RSU Islam Aisyiyah Malang,RSU,C,dr H Hartojo Sp PK (K),Jl. Sulawesi No 16 Malang,Swasta/Lainnya,Kota Malang,65117,0341-326773,0341-363888,30/06/2015
3578476,30/01/2013,RS Umum Al-Irsyad Surabaya,RSU,C,"Dr. Akhmad Bakarman, MARS",Jl. KHM.Mansyur No. 210 - 214 Surabaya,Organisasi Sosial,Kota Surabaya,60162,031-3531223,031-3541517,30/06/2015
7306057,00/00/0000,RS Umum Thalia Irham,RSU,D,"dr.Muh.Saad Bustan,M.Kes","Jl. Poros Limbung Km.15, Panciro",Perorangan,Gowa,92152,(0411)8216893,(0411)8216893,30/06/2015
1372012,28/02/2012,RS Solok,RSU,A,dr.Boy Ramurthi,JL. Proklamasi No. 03 kota Solok,TNI AD,Kota Solok,-,0755-20242,0755--20242,30/06/2015
1371123,25/06/2015,RS Bhayangkara Padang,RSU,D,Dr. TASRIF,Jl. Jati No.I Padang,POLRI,Kota Padang,25129,0751-22397,0751-22270,25/06/2015
1371273,00/00/0000,RS Bersalin Bunda Padang,RS Bersalin,Belum ditetapkan,Dr. Hj. Zurtias Suheimi,"Jl. Gajah Mada No.35,Padang",Organisasi Sosial,Kota Padang,250000,7055995,7054716,25/06/2015
1375025,06/01/2014,RS Tk IV Bukit Tinggi,RSU,D,"dr. Syahrial, Sp B","Jl. Jen Sudirman 37,Bukittinggi",TNI AD,Kota Bukittinggi,26137,0752-22887,0752-22887,25/06/2015
1371454,27/02/2012,RS Khusus Gigi dan Mulut Baiturrahmah,RSK Gigi dan Mulut,B,"Drg. Widyawati, M.Kes., Sp.KG",Jl. Raya by Pass KM.14 Sei Sapih Padang,Organisasi Islam,Kota Padang,-,08117038000,-,25/06/2015
1371456,02/03/2012,RS Islam Siti Rahmah,RSU,C,"Dr.Az Rifky,Sp.An KIC.KMN",JL.Raya by Pass KM 15 Air Pacah Padang,Organisasi Islam,Kota Padang,25176,0751-463059,0751-463531,25/06/2015
1371284,04/11/2013,RS Umum Selaguri,RSU,D,Dr. Hj.Hafleziani M.Kes,"Jl. A.Yani No.26,Padang",Organisasi Sosial,Kota Padang,0751,33010,840051,24/06/2015
3171045,15/06/2015,RS Umum Jakarta,RSU,B,"Dr. Heru Pramanto,MARS","Jl. Jend.Sudirman Kav.49,Jaksel",Organisasi Sosial,Jakarta Selatan,12930,5732241,5710249,15/06/2015
3173036,24/12/2013,RS Umum AL Dr Mintoharjo,RSU,B,"dr.Radito Soesanto,Sp. THT",Jl. Bendungan Hilir 17 Jakpus,TNI AL,Kota Jakarta Pusat,10210,021-5703081,021-5711997,15/06/2015
3327046,03/07/2013,RS Ibu dan Anak Siti Aminah Pemalang,RSIA,C,dr. Diah Rifqi Susanti,Jl. Jenderal Sudirman Timur No. 295,Swasta/Lainnya,Pemalang,52361,0284-321675,0284-324258,12/06/2015
3277021,20/09/2013,RS Umum Kasih Bunda,RSU,C,"dr. NUNINGSIH, MM., MHKes",Jl. Mahar Martanegara No.166 Kel. Baros Kec. Cimahi Tengah,Perusahaan,Kota Cimahi,40521,(022)-6614221,(022)6634135,05/06/2015
3574069,08/05/2015,RS Ibu dan Anak Muhammadiyah Kota Probolinggo,RSIA,C,"dr. Sarojo Hartosoerodjo, Sp.A",Jl. Panglima Sudirman No. 65,Swasta/Lainnya,Kota Probolinggo,67214,(0335)-431116,(0335)-431116,04/06/2015
3501018,05/05/2015,RS Ibu dan Anak Gili Putri,RSIA,C,"dr. BAMBANG ARI WIDJAJA, Sp.OG",Jl. Veteran No. 56 Pacitan,Swasta/Lainnya,Pacitan,-,(0357)-882360,-,20/05/2015
3173580,31/03/2015,RS Umum Kramat 128,RSU,B,"Dr. Harijadi,Sp.A,MARS","Jl. Kramat Raya No.128,Jakpus",Organisasi Sosial,Kota Jakarta Pusat,10430,021-3909513,021-3909125,12/05/2015
3172024,00/00/0000,RS Umum Daerah Budhi Asih,RSU,B,"Dr. IB Nyoman Banjar, MKM","Jl. Dewi Sartika, Cawang III/ 200,Jakarta Timur",Pemprop,Jakarta Timur,13630,021-8090282,021-8090157,11/05/2015
