kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
6471086,17/05/2017,RS Hermina Balikpapan,RSU,C,"DR. DOUGLAS S. UMBOH, MARS",Jl. MT Haryono No 45,Swasta/Lainnya,Kota Balikpapan,76115,0542-8532525,0542-508989,07/04/2018
1471033,06/04/2018,RS Bhayangkara Pekan Baru Polda Riau,RSU,C,"Dr.KHODIJAH,M.M","Jl Kartini No.14,Pekanbaru",POLRI,Kota Pekanbaru,28114,0761-47691,0761-21431,06/04/2018
1471215,15/08/1983,RS Umum  TNI AU-LANUD Roesmin Nurjadin,RSU,C,"dr. Àgung Supriyanto, MSc, SpA","Jl Adi Sucipto No. 123 Kelurahan Maharatu, Kec. Marpoyan Damai",TNI AU,Kota Pekanbaru,28283,0761-61456,0761-63447,06/04/2018
1471237,24/05/2012,RS Ibu dan Anak Eria Bunda,RSIA,C,"Dr.Riswandi,SpA,MHUM PLT","Jl KH.Ahmad Dahlan No.163,Pekanbaru",Swasta/Lainnya,Kota Pekanbaru,28128,0761-23100,0761-857013,06/04/2018
5171111,05/08/2013,RS Umum Kasih Ibu,RSU,C,"dr. I Wayan Kesumadana, SpOG.K","Jl. Teuku Umar 120,Denpasar",Organisasi Sosial,Kota Denpasar,80114,0361-3003030,-,06/04/2018
5104023,15/03/2010,RS Umum Premagana,RSU,C,Dr. I Gusti Ngurah Tri Gunawan,"Jl. Hyang Sangsi No.2 Komp.Perumahan Chandra Ayu Br. Tubuh,Batubulan,Sukawati -",Swasta/Lainnya,Gianyar,80851,7937720,295246,06/04/2018
1403035,30/11/2017,RS Umum Daerah  Tengku Sulung,RSU,D,dr. H. Iswandi,"Jl Penunjang Pulau Kijang, Kec.Reteh",Pemkab,Indragiri Hilir,29273,085220132875,-,06/04/2018
9203015,06/04/2018,RS TNI Angkatan Laut dr. Soedibjo Sardadi,RSU,C,"dr. Wahju Krisnoto, Sp.M",Jl. Amphibi No.1 Hamadi Jayapura,TNI AL,Jayapura,99222,0967-522958,0967-522958,06/04/2018
7371401,16/07/2013,RS Ibu dan Anak Bunda,RSIA,C,dr. Hj. Darmin Tangsa,Jl. Pengayoman Blok F9 No. 25,Swasta/Lainnya,Kota Makassar,90231,0411-424460,0411-420200,06/04/2018
5103036,06/11/2014,RS Umum Surya Husadha Nusa Dua,RSU,C,"dr. Made Yudi Artawan, MM","Jl. Siligita Blok I No 14, Nusa Dua, Kuta Selatan",Perusahaan,Badung,80361,0361-775827,-,06/04/2018
3216434,25/04/2016,RS Umum Budi Asih,RSU,D,dr. Anton Budi Harja,Jl. Raya Serang-Cibarusah 001/001 Ds. Serang  Kec. CIkarang Kab. Bekasi,Perorangan,Bekasi,17530,02189677795,02189677402,06/04/2018
5101055,13/06/2017,RS Umum Balimed Negara,RSU,C,"dr. Ni Nyoman Mulyani, MM.",Jalan Hayam Wuruk No 23 Negara,Swasta/Lainnya,Jembrana,82218,0365-4501452,-,06/04/2018
1806037,14/02/2018,RS Maria Regina,RSU,D,"dr. Hi. A. Cholik Hasan, M.Kes","Jl. Abdoel Moeloek No. 119 Tanjung Aman, Kotabumi, Lampung Utara",Organisasi Katholik,Lampung Utara,34511,0724-21203,-,06/04/2018
1212023,24/12/2013,RS Umum Dr Gerhard L Tobing,RSU,C,dr. H.Lili Syarief Hidayatsah SpPD,Desa Buntu Bedimbar Tanjung Morawa Deli Serdang,BUMN,Deli Serdang,20262,061-7940055,061-7940233,05/04/2018
1408011,29/11/2007,RS Umum Daerah  Bengkalis,RSU,B,dr. ERSAN SAPUTRA TH,"Jl Kelapapati Tengah No.90, Bengkalis",Pemkab,Bengkalis,28751,0766-7008100,0762-7008200,05/04/2018
1471161,11/01/2014,RS Umum  Bina Kasih,RSU,C,"Dr. H. Noorchalis Asnawi, M.Kes","Jl Samanhudi No.3-5,Pekanbaru",Organisasi Sosial,Kota Pekanbaru,28152,0761-21718,0761-28803,05/04/2018
1471371,29/05/2012,RS Umum  Lancang Kuning,RSU,C,Drg. Asnan Wahyudi,Jl Ronggowarsito Ujung No.5A Gobah Pekanbaru,Swasta/Lainnya,Kota Pekanbaru,28132,0761-859273,0761-34672,05/04/2018
1601035,00/00/0000,RS Santo Antonio Baturaja,RSU,D,Dr.Andreas Hendra Hidayat,"Jl. Komisaris Umar 33,Baturaja",Organisasi Katholik,Ogan Komering Ulu,32121,(0735)320395,(0735)320201,05/04/2018
1609083,31/12/2015,RS Umum Daerah Ogan Komering Ulu Timur,RSU,C,"dr.Sugihartono, M.Sc",Jl. Raya Belitang Rasuan No.1 Tulus Ayu Kecamatan Belitang Madang Raya,Pemkab,Ogan Komering Ulu Timur,32382,0735-451815,0737-451815,05/04/2018
