kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
1273033,11/04/2018,RS Umum Harapan,RSU,C,dr. Marihat Ginting,Jl Farel Pasaribu No. 21,Organisasi Katholik,Kota Pematang Siantar,21127,"(0622)-21162,-2",0622435301,25/07/2018
3310421,04/10/2015,RS Umum Daerah Bagas Waras,RSU,C,"dr. Limawan Budiwibowo,M.Kes",Jalan Ir. Soekarno Km 2 Buntalan Klaten,Pemkab,Klaten,57419,0272-3359666,0272-3359199,25/07/2018
6372017,16/03/2017,RS Umum Syifa Medika,RSU,C,dr. Annisa Fitria,Jalan. R. O. Ulin Nomor 93,Perorangan,Kota Banjar baru,70712,05115910889,05115910889,25/07/2018
1273055,20/12/2013,RS Umum Vita Insani,RSU,B,"Dr. Alpin Hoza,MM","Jl. Merdeka No.329, Pematang Siantar",Perusahaan,Kota Pematang Siantar,21132,0622-22520,0622-24521,24/07/2018
2003125,04/03/2014,RS Umum Daerah Palmatak,RSU,D,"dr. Saiful Islam, M.Kes, Sp.B",Jalan Datuk Lamin No. 03 Desa Payalaman,Pemkab,Kepulauan Anambas,29997B1,077231381,-,24/07/2018
3374054,27/11/2012,RS Umum Permata Medika,RSU,C,Dr. Imam Hendarto,"Jl. Moch Ichsan No.93 - 97, Ngaliyah Semarang",Swasta/Lainnya,Kota Semarang,50181,024-7625005,024-7621733,24/07/2018
3518046,14/02/2012,RS Islam Aisyiyah Nganjuk,RSU,D,"dr. Agus Pribadi, MM",Jl. Imam Bonjol No. 20 Nganjuk,Organisasi Islam,Nganjuk,64418,(0358)-324024,(0358)-324028,24/07/2018
6171138,29/11/2012,RS Umum Daerah Sultan Syarif  Mohammad Alkadri,RSU,C,"Drg. Yuliastuti Saripawan,M.Kes",Jl. Komodor Yos Sudarso Pontianak,Pemkot,Kota Pontianak,78113,05616783039,05616783040,24/07/2018
3175409,21/03/2014,RS Ibu dan Anak Grand Family,RSAB,C,"dr. Sari Dewi Rosady, M.Gizi, MM",Jl. Pantai Indah Selatan I Komp. Elang Laut Boulevard Kav. I No. 1 Penjaringan J,Perusahaan,Kota Jakarta Utara,14470,021-29673777,021-29673732,24/07/2018
6201013,24/07/2018,RS Citra Husada Pangkalan Bun,RSU,D,dr. Findy Wijaya Nurdin,JL. MALIJO RT. 14 KEL. MADUREJO KEC. ARUT SELATAN,Perusahaan,Kotawaringin Barat,74112,0532-2070777,0532-2070789,24/07/2018
1273107,25/11/2017,RS Mata Siantar,RSK Mata,C,"dr, Flora Maya Damanik, MARS",Jl. Kartini Nomor 18 Kelurahan Bantan,Swasta/Lainnya,Kota Pematang Siantar,21111,062225559,062227677,24/07/2018
3312284,30/03/2012,RS Umum Muhammadiyah Selogiri,RSU,D,dr. Resita Lukitawati,"Jl. Lama Bulak, RT.02, RW.04 Desa Nambangan Selogiri, Wonogiri",Organisasi Islam,Wonogiri,57652,0273322624,02735327504,23/07/2018
5208002,02/02/2012,RS Umum Kab. Lombok Utara,RSU,C,Dr. H. Lalu Bahrudin,"Jl. Raya Tioq Tata Tunaq, Tanjung Lombok Utara",Pemkab,Lombok Utara,83352,0370-6123010,(0370)-6123010,23/07/2018
3175330,31/12/2014,RS Umum Royal Progress,RSU,B,"dr. Ivan R. Setiadarma, MM","Jl. Danau Sunter Utara, Sunter Paradise I",Organisasi Sosial,Kota Jakarta Utara,14350,021-6400261,021-6400778,21/07/2018
3372026,03/01/2015,RS Umum Dr. Oen,RSU,B,"Dr. William Tanoyo, MKes","Jl. Brigjend Katamso 55,Surakarta",Organisasi Sosial,Kota Surakarta,57128,0271-643139,0271-642026,20/07/2018
7502034,31/03/2014,RS Umum Daerah dr. Hasri Ainun Habibie,RSU,D,Dr. TRIYANTO BIALANGI M.KES,Jl. Kusno Tongkodu No. 149 Limboto,Pemprop,Gorontalo,96213,0435-880008,-,20/07/2018
1212179,16/12/2016,RS Umum Citra Medika,RSU,C,dr. Hendra Taufiq Hasibuan,Jl Medan-Bt Kuis No 377 Pasar X Desa Bandar Khalipa,Perusahaan,Deli Serdang,20371,061.7384555,-,20/07/2018
6301016,18/07/2016,RS Bersalin Ibunda,RS Bersalin,C,dr. Ajeng Setiyorini,Jl. A.Syairani RT 04 RW 2 Kelurahan Sarang Halang Kecamatan Pelaihari Kabupaten,Perorangan,Tanah Laut,70815,0853-4948-3703,-,20/07/2018
1115012,26/02/2018,RS Umum Daerah Sultan Iskandar Muda Nagan Raya,RSU,C,drg. Doni Asrin,"Jl. Nasional Meulaboh-Tapak Tuan KM. 28,5 Ujung Patihah Kabupaten Nagan Raya",Pemkab,Nagan Raya,23661,0655-7141059,0655-7141060,18/07/2018
