kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
6404046,22/03/2012,RS Umum Medika Sangatta,RSU,D,dr. Tulus Sampurno,"Jl. Yos Sudarso IV No. 1, Sangatta",Swasta/Lainnya,Kutai Timur,-,0549-23417,0549-21175,13/08/2018
7208013,25/06/2013,RS Umum Daerah  Raja Tombolotutu,RSU,D,dr. Rustan Mangga,Jl. Trans Sulawesi Dsn II Tinombo,Pemkab,Parigi Moutong,94375,(0454)610085,-,13/08/2018
3311225,14/06/2016,RS Umum PKU Muhammadiyah Sukoharjo,RSU,C,"dr. H. Machmud Surjanto, Sp.B","Jl. Mayor Sunaryo No. 37, Sukoharjo",Organisasi Islam,Sukoharjo,57512,(0271)-593979,-,13/08/2018
3671210,22/12/2014,RS Permata Ibu,RSU,C,drg. Hayati Purwaningrum. MARS,Jl. KH. Mas Mansyur No. 2 Kunciran Tangerang,Perusahaan,Kota Tangerang,15145,021---7300898,021---7300883,13/08/2018
3307051,24/12/2014,RS Umum  PKU Muhammadiyah Wonosobo,RSU,C,"dr. Akhmad Muzairi, MARS","Jl. Gatot Subroto, Sudungdewo, Wonosobo",Swasta/Lainnya,Wonosobo,56371,(0286)-329185,(0286)-3320212,13/08/2018
3525098,24/12/2015,RS Umum Islam Cahaya Giri Gresik,RSU,D,"Dian Kania Sari, dr., M.Kes","Jl. Raya Bringkang No. 90-94, Bringkang, Menganti",Swasta/Lainnya,Gresik,61174,031-7915321,-,13/08/2018
7371426,03/01/2017,RS Hermina Makassar,RSU,C,dr. Victor Trigno,"Jl. Toddopuli Raya Timur, Kel. Borong, Kec. Manggala, Makassar",Swasta/Lainnya,Kota Makassar,90233,0411-4091817,0411-4091775,13/08/2018
1471226,19/08/1998,RS Umum  Awal Bros Pekanbaru,RSU,B,Dr.Nurhidayati Endah Puspita Sari.MARS,Jl Sudirman No.117 Pekanbaru,Swasta/Lainnya,Kota Pekanbaru,28282,0761-47333,47222,12/08/2018
3374091,01/01/2015,RS Umum Bhayangkara Semarang,RSU,C,"dr. I GUSTI GEDE M ANDIKA, SpRad,MKes",JL.MAJAPAHIT NO.140 SEMARANG,POLRI,Kota Semarang,50161,024-6720675,024-0723872,12/08/2018
5371057,11/08/2018,RS Kartini,RSU,D,"dr Yudith Marieta Kota,M.kes",Jl. Frans Seda No. 17,Perusahaan,Kota Kupang,85228,0380---831270,-,12/08/2018
1602016,25/07/2018,RS Safira Pasa,RSU,D,dr muhammad kadavi,Jl. Lintas Timur KM.135 Desa Tugu Mulyo Kec. Lempuing,Perorangan,Ogan Komering Ilir,-,081257384444,-,12/08/2018
1371112,30/12/2016,RS Umum Aisyah,RSU,D,"Dr. H.Hadril Busudin. Sp.S, MHA","Jl. H.Agus Salim No.6,Padang",Organisasi Sosial,Kota Padang,25121,0751-23843,0751-30639,11/08/2018
1471135,09/04/2018,RS Umum  Islam Ibnu Sina,RSU,B,dr. Hj. NOVRIELLY,Jl Melati No.60 Pekanbaru,Organisasi Islam,Kota Pekanbaru,28122,0761-24242,0761-35698,11/08/2018
1471382,27/12/2013,RS Umum  Pekanbaru Medical Center,RSU,C,"DR. Hj. Zurtias Suheimi, MARS","Jl Lembaga Pemasyarakatan No.25, Gobah Pekanbaru",Swasta/Lainnya,Kota Pekanbaru,28131,0761848100,0761859510,11/08/2018
3201229,11/08/2018,RS Umum Citama,RSU,C,"dr. Yohannes Febru Nainggolan, MARS",Jl. Raya Pabuaran No. 52 Bogor,Swasta/Lainnya,Bogor,16320,021-87985555/87,-,11/08/2018
1871427,04/01/2014,RS Umum Pertamina-Bintang Amin Lampung,RSU,C,dr. Rachmawati. MPH,"Jl. Pramuka No.27,Bandar Lampung",Perusahaan,Kota Bandar Lampung,35151,273601,273597,11/08/2018
3203037,04/01/2012,RS Umum Daerah Cimacan,RSU,C,"dr. H.Dharmawan S.Dahlan,MARS","Jl. Raya Cimacan No.17, Cianjur",Pemkab,Cianjur,43253,0263-512465,0263-512465,11/08/2018
3206055,27/01/2016,RS Umum Islam Hj. Siti Munaroh,RSU,D,"dr.H.Asep Hidayat Surdjo, Sp.A",Jl. Tamansari Gobras No.228 Kota Tasikmalaya,Organisasi Islam,Kota Tasikmalaya,46196,0265-323868,0265-327630,11/08/2018
3216174,23/07/2013,RS Umum Rawa Lumbu,RSU,C,"Dr. Andini Sarikantiredjeki, MARS",Jl. Dasa Darma 20-23 Bekasi,Organisasi Sosial,Kota Bekasi,17116,0218242251,02182432958,11/08/2018
