kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
5104037,13/10/2016,RS Umum Kasih Ibu Saba,RSU,C,"dr. I Gede Ngurah Buana, M.Kes","Jl. Raya Pantai Saba No. 9, Saba, Blahbatuh, Gianyar (80581)",Perusahaan,Gianyar,80581,03613003333,-,16/10/2018
3517098,16/01/2018,RS Bedah Surya Dharma Husada,RSK Bedah,C,dr. Luh Putu Ayu Pradnya Iswari,Jl. KH. Hasyim Asyari No. 123 Jombang Jawa Timur,Swasta/Lainnya,Jombang,61419,0321860777,0321860777,16/10/2018
3172770,26/04/2018,RS Ibu dan Anak Alvernia Agusta,RSIA,C,"DR. WINARNO, SpOG",Jl. Pemuda No. 80 Kel. Jati Kec. Pulogadung,Organisasi Sosial,Kota Jakarta Timur,13220,4720893--470526,4704474,16/10/2018
1103010,09/11/2017,RS Umum Daerah Dr. H. Yulidin Away,RSU,B,"dr. FAISAL, Sp.An",Jl. T. Ben Mahmud Nomor 86 A Tapaktuan,Pemkab,Aceh Selatan,23713,0656-21013,0656-21818,15/10/2018
1211011,15/10/2018,RS Umum Daerah Kabanjahe,RSU,C,dr. Arjuna Wijaya Sp.P,Jl Kapten Selamat Ketaren No. 08 Kabanjahe,Pemkab,Karo,22111,0628-20012,0628-20012,15/10/2018
1274012,22/03/2013,RS Umum Daerah Dr. H. Kumpulan Pane,RSU,B,Dr. YOHNLY BOELIAN DACHBAN,Jl Dr. Kumpulan Pane No.226,Pemkot,Kota Tebing Tinggi,12740,0621-21967,0621-327027,15/10/2018
1276014,21/02/2013,RS Umum Daerah Dr. R. M. Djoelham Binjai,RSU,B,"dr. SUGIANTO, Sp.OG",Jl Sultan Hasanuddin No. 9 Binjai,Pemkot,Kota Binjai,20713,061-8821372,061-8830461,15/10/2018
1372011,31/12/2013,RS Umum Daerah Solok,RSU,B,"drg.Ernoviana,M.Kes","Jl. Simpang Rumbio,Solok",Pemprop,Kota Solok,23916,0755-20827,0755-20003,15/10/2018
1503036,14/02/2016,RS Umum Daerah Prof. Dr. H.  Chatib Quzwain,RSU,C,"dr. Irwan Miswar, MKM","Jl. Lintas Sumatera Km.09 Desa Bukit, Sarolangun",Pemkab,Sarolangun,37481,-,-,15/10/2018
3172061,10/05/2016,RS Pusat AU dr. Esnawan Antariksa,RSU,B,Kolonel Kes dr. Mukti Arja Berlian Sp.PD,"Jl. Merpati No. 2 Halim Perdana Kusuma, Jakarta",TNI AU,Kota Jakarta Timur,13610,021-80881911,021-8098665,15/10/2018
3172301,00/00/0000,RS Khusus Bedah Rawamangun,RSK Bedah,C,"Dr. Elviera Darmayanti,MM","Jl. Balai Pustaka Raya No. 29 - 31, Rawamangun",Organisasi Sosial,Kota Jakarta Timur,13220,021---47885201,021---4710918,15/10/2018
3517095,02/12/2014,RS Umum Pelengkap Medical Center,RSU,D,dr.Galih Endradita M.,"Jl. Ir. Juanda Nomor 03, Jombang, Provinsi Jawa Timur",Perusahaan,Jombang,61411,(0321)877945,(0321)869826,15/10/2018
3202040,12/12/1998,RS Umum Daerah Palabuhanratu,RSU,C,Dr. H. Asep Rustandi,Jl. Ahmad Yani No.2 Palabuhanratu,Pemkab,Sukabumi,43364,0266-432081,0266-432082,15/10/2018
3204016,25/11/2017,RS Umum Daerah Majalaya,RSU,B,"dr.Hj.Tuty Heryati,MM",Jl. Raya Cipaku No.87 Majalaya Kabupaten Bandung,Pemkab,Bandung,40383,022-5950035,022-5950955,15/10/2018
3274064,01/12/2011,RS Ibu dan Anak Putera Bahagia,RSU,C,Dr. Niken Novitasari,Jl. Ciremai Raya No 114 Perumnas Cirebon,Perusahaan,Kota Cirebon,45142,0231-4990900,-,15/10/2018
3471030,15/10/2018,RS Tk. III 04.06.03 Dr. Soetarto,RSU,C,"dr. Virni Sagita Ismayawati, MARS",Jl Juwadi 19 Kotabaru Yogyakarta,TNI AD,Kota Yogyakarta,55224,(0274)555402,(0274)555402,15/10/2018
3512034,05/05/2014,RS Elizabeth,RSU,C,drg. Frida Yuni Erlianti,Jl. WR Supratman Nomor 2A Situbondo,Swasta/Lainnya,Situbondo,68312,0338-671174,(0338)-678061,15/10/2018
3516020,13/06/2000,RS Umum Daerah Prof. Dr. Soekandar,RSU,B,"Dr. SUJATMIKO, MM, M.M.R",Jl. Hayam Wuruk 25 Mojosari Kab. Mojokerto,Pemkab,Mojokerto,61382,0321-591591,0321-590860,15/10/2018
3577026,00/00/0000,RS Umum Santa Clara,RSU,C,dr. FX. Budiarto,"Jl. Biliton No. 15  Kel.Madiun Lor, Kec.Mangunharjo, Kota Madiun",Swasta/Lainnya,Kota Madiun,63122,0351-462688,0351-466509,15/10/2018
