kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3271161,00/00/0000,RS Umum Melania,RSU,C,"dr. Oktavia Nurdiani, M. Kes","Jl. Pahlawan No.91, Kota Bogor",Perusahaan,Kota Bogor,16131,0251-8321196,0251-8331777,28/08/2017
1374024,18/01/2013,RS Umum Ibnu Sina Padang Panjang,RSU,D,dr. Fair Ruza,"Jl. Sukarno. Hatta,Padang Panjang",Organisasi Islam,Kota Padang Panjang,27115,0752-82127,0752-83997,25/08/2017
3376034,18/01/2017,RS Umum Tk.IV Tegal,RSU,D,"dr. Sandi Fitriardi,Sp.S",Jl. RS DKT PAGONGAN TEGAL,TNI AD,Tegal,52192,0283351420,0283341008,25/08/2017
3673005,19/01/2016,RS Umum Ibunda,RSU,D,"dr.H.Ammar Siradjuddin,SpOG.MARS",Jl. Ki Uju No. 1 Kaujon Masjid Kuno,Swasta/Lainnya,Kota Serang,42116,0254-201234,0254-201234,24/08/2017
3301036,05/03/2012,RS Umum Pertamina Cilacap,RSU,D,dr. Sugeng Santoso,"Jl. Dr.Setiabudi Tegal Katilayu, Cilacap",BUMN,Cilacap,0282,509955,509987,22/08/2017
3302041,23/03/2015,RS Umum Santa Elizabeth,RSU,C,"dr. Lucas J. Mariatmanta,SH",Jl. dr. Angka No. 40 Purwokerto,Organisasi Katholik,Banyumas,53116,0281-625857,0281-627824,22/08/2017
3271166,10/08/2017,RS Umum Bhayangkara Tk IV Bogor,RSU,D,dr. Fauziah Rihani,Jl. Kapten Muslihat No. 18 Paledang Bogor Tengah Kota Bogor,POLRI,Kota Bogor,16122,02518348987,02518348987,22/08/2017
3275062,04/08/2017,RS Siloam Bekasi Timur,RSU,C,"dr. Nicolaas Frits Turangan, MM","Jl. Charil Anwar Blu Plaza No 27, RT. 004 RW. 09 Kelurahan Margahayu Kecamatan B",Swasta/Lainnya,Kota Bekasi,17113,021-80611900,021-80611922,21/08/2017
2101002,01/08/2017,RS Ibu dan Anak Graha RAP,RSIA,C,dr. MEGA KURNIA SAPUTRI,Jl. Raja Oesman Baran 1,Perusahaan,Karimun,29661,0777326097,0777325103,16/08/2017
3509138,27/01/2014,RS Kaliwates Jember,RSU,C,"drg. Niluh AHendrawanti,M. Mkes",Jl. Diah Pitaloka Nomor 4 Jember,Perusahaan,Jember,10,0331-485967,-,12/08/2017
3318097,08/08/2017,RS Umum Bantuan Pati,RSU,D,dr. Sony Lastianto W,Jl. P. Sudirman No.77 Pati,TNI AD,Pati,59112,0295382684,0295382684,08/08/2017
3579002,30/09/2011,RSU dr. Etty Asharto Batu,RSU,D,"Dr. Mulyatim Koeswo, M.Kes.",Jl. Sajid No 44 Pesanggrahan,Swasta/Lainnya,Kota Batu,65311,0341-591054,0341-595795,08/08/2017
5102049,14/07/2017,RS Umum Semara Ratih,RSU,C,"dr. I Wayan Buana, Sp.B","Banjar Luwus, Desa Luwus, Kecamatan Baturiti",Perusahaan,Tabanan,82191,082236174466,-,07/08/2017
7571021,00/00/0000,RS Bunda,RSU,D,"Dr. Librioda Suminar, Sp.M","Jl. H.B. Jassin No. 269, Kota Gorontalo.",Perusahaan,Kota Gorontalo,96116,(0435)-830600,(0435)829290,05/08/2017
7571023,26/02/2016,RS Multazam,RSU,D,dr.Syahruddin Sam Biya,Jl. Gelatik No. 158 Kel. Heledulaa Utara,Swasta/Lainnya,Kota Gorontalo,96119,(0435)-8522498,(0435)-8522498,05/08/2017
1273022,20/07/2016,RS Tk. IV 01.07.01,RSU,C,"dr. Yudhi Dorandes, Sp.M",Jl. Gn Simanuk Manuk No.6. Pematangsiantar,TNI AD,Kota Pematang Siantar,21115,0622-21071,0622-314171,04/08/2017
3326051,13/02/2017,RS Ibu dan Anak Aisyiyah Pekajangan Pekalongan,RSIA,C,"dr. Himawan Budityastomo, SpOG",Jalan raya Pekajangan no 610 Pekalongan,Organisasi Islam,Pekalongan,51172,0285785909,0285785909,03/08/2017
3204130,13/04/2017,RS Mata Bandung Eye Center,RSK Mata,C,"Dr. Djonggi P. Panggabean, SpM.(K).",Jl. Buah Batu No.147 Kel. Turangga Kec. Lengkong Kota Bandung,Swasta/Lainnya,Bandung,40264,022-73514682,022-73514684,03/08/2017
1305016,10/05/2017,RS Ibu dan Anak Fadhila Batusangkar,RSIA,C,"dr. Loly Gusvita Reni,MARS",Jl. Baringin No. 5 Jorong Baringin Nagari Baringin Kec. Lima Kaum Batusangkar,Perusahaan,Tanah Datar,27211,082110463538,0752-72986,03/08/2017
