kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3174508,00/00/0000,RS Umum Puri Indah,RSU,B,"Dr. Magdalena, MM","Jl. Puri Indah Raya,Blok S-2,Kel.Kembangan Selatan,Jakbar",Swasta/Lainnya,Kota Jakarta Barat,11610,021-25695222,021-25695359,22/05/2018
3201061,00/00/0000,RS Umum Tugu Ibu,RSU,C,"Dr. Syaifuddin Zuhri, MARS",Jl. Raya Bogor Km 29 Cimanggis - Depok,Organisasi Sosial,Kota Depok,16951,021-8710870,8708266,22/05/2018
6408025,15/03/2017,RS Umum Daerah Kabupaten Nunukan,RSU,C,"dr. H. Dulman L,M.Kes, Sp.OG",Jl. Ujang Fatimah RT.04 Nunukan Barat,Pemkab,Nunukan,77482,0556-2020755,0556-2020755,22/05/2018
1872031,30/04/2018,RS Umum Islam Metro,RSU,D,dr. Hi. Amelius Ramli,"Jl. Jend.AH Nasution No.250,Metro",ORGANISASI SOSIAL,Kota Metro,34111,0725-41883,0725-41883,22/05/2018
8204012,31/10/2014,RS Umum Obi,RSU,Belum ditetapkan,"dr. Diadon Misi Mitaart, Sp.B",Jln. Cabang Kuning desa Buton Kec Obi,Pemkab,Halmahera Selatan,97792,0927-2321248,-,22/05/2018
3216396,12/03/2018,RSIA Taman Harapan Baru,RSIA,C,"dr. Felix Oded Sima, Mars","Jln. Taman Harapan Baru Raya, Blok R1, No. 20",Perusahaan,Kota Bekasi,17131,(021)-888-71202,(021)888-71203,22/05/2018
3507105,07/05/2013,RS Lawang Medika,RSU,D,"dr. Yuni Kartika Sari, MMRS","Jl. Dr. Cipto No.8 Bedali, Lawang, Kab. Malang",Swasta/Lainnya,Malang,65215,0341-420888,0341-423338,22/05/2018
3306110,11/02/2016,RS Umum Budi Sehat Purworejo,RSU,D,"dr. Putri Sayekti Mahanani, MPH",Jl. W.R. Supratman No. 183Cangkrep LorPurworejo,Swasta/Lainnya,Purworejo,54117,02753128272,-,22/05/2018
3471362,03/01/2006,RS Khusus Gigi Mulut Prof. Soedomo FKG UGM,RSK Gigi dan Mulut,A,"Dr. drg. Yulita Hendrartini, M.Kes, AAK",Jl. Sekip Utara Yogyakarta,BUMN,Sleman,55281,0274-555312,0274-555312,21/05/2018
3524043,16/01/2018,RS Bedah Mitra Sehat,RSK Bedah,C,"Dr.dr. Cicik Secha, M.Kes","Jl. Raya Lamongan - Babat KM 5 Desa Karanglangit, Kec, Lamongan, Kab. Lamongan",Swasta/Lainnya,Lamongan,62251,0322-317997-/-0,0322-317998,21/05/2018
3524046,14/10/2014,RS Umum Intan Medika,RSU,D,dr. Kamal Mubarok,"Jalan Raya Blawi, Kec. Karangbinangun, Kab, Lamongan",Swasta/Lainnya,Lamongan,62293,0322-3382605,-,21/05/2018
1471392,01/06/2016,RS Umum  Universitas Riau,RSU,D,"dr. Zulharman, M. Med.Ed","Kompleks Bina Widya KM 12,5 Simpang Baru, Panam",Kementerian Lain,Kota Pekanbaru,28293,0761564606,0761564607,21/05/2018
1223006,15/05/2018,RS Umum Flora,RSU,D,dr. Ferdinand PS,Jl. Jenderal Sudirman No. 29 Aek Kanopan,Perusahaan,Labuhan Batu Utara,21457,081361245447,-,18/05/2018
5171215,08/01/2015,RS Ibu dan Anak Puri Bunda,RSIA,C,dr. I G.A.P Yudihartini,"Jl. Gatot Subroto VI /19, Denpasar",Swasta/Lainnya,Kota Denpasar,80235,437999,433988,18/05/2018
9217013,26/05/2011,RS Umum Daerah Oksibil,RSU,D,drg.FLORINTJE ARONGGEAR,jl. Poros Kabiding No. 2 Oksibil,Pemkab,Pegunungan Bintang,-,081248048401,-,18/05/2018
3515125,16/05/2018,RS Ibu dan Anak Kirana,RSIA,C,Dr. Achmad Ichbal,"Jl. Raya Ngelom No.87 Taman, Sidoarjo",Perusahaan,Sidoarjo,61257,031---7881623,031---7873010,18/05/2018
1275931,17/03/2018,RS Umum Eshmun,RSU,C,DR. RUDY,Jalan Marelan Raya No. 173A Kelurahan Tanah Enam Ratus Kecamatan Medan Marelan,Perusahaan,Kota Medan,20245,06188818282,-,18/05/2018
1275590,14/03/2017,RS Umum Bhakti,RSU,C,Dr. Alsyah Nasution,Jl HM Joni No.64 Medan,Organisasi Sosial,Kota Medan,20217,061-7366588,-,16/05/2018
3516033,05/01/2015,RS Islam Arofah,RSU,D,Dr. H. Soekiran,"Jl. Gajah Mada No.1 Kec. Mojosari, Kab. Mojokerto",Swasta/Lainnya,Mojokerto,61382,0321---596900,0321---596019,16/05/2018
