kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
9107003,04/01/2018,RS Maleo,RSU,D,dr. Irene S. Dawenan,Jl. Kesehatan No. 37,Swasta/Lainnya,Sorong,98417,0951321607,-,07/06/2018
3215023,31/01/2013,RS Umum Bayukarta,RSU,C,"dr. Whisnu Santoso, MM",Jl. Kertabumi No.44 Karawang,Organisasi Protestan,Karawang,41311,0267-401818,0267-404472,06/06/2018
1806038,02/03/2018,RS Candimas Medical Center,RSU,D,"dr. Meity Tiarani, M. Kes",Jl. Alamsyah Ratu Perwira Negara No. 47 Kotabumi Selatan,Swasta/Lainnya,Lampung Utara,-,07243290231,-,05/06/2018
3523054,24/05/2018,RS Bedah Ibnu Sina Parengan Tuban,RSK Bedah,C,dr. I Gusti Made Said Prayudha Sejati,Jl. Raya Bojonegoro Jatirogo No. 126 Dusun Krajan RT. 03 RW. 02 Desa Sendangrejo,Swasta/Lainnya,Tuban,62366,08113000448,(0353)880835,04/06/2018
3316040,17/10/2011,RS Umum Permata Blora,RSU,D,dr. ADI WINARNO,"Jl. Reksodiputro No.57,Blora",Organisasi Sosial,Blora,58214,0296-531624,0296-532261,04/06/2018
1276076,29/01/2016,RS Umum Ratu Mas,RSU,C,-,Jl Tengku Amir Hamzah No 281A,Perusahaan,Kota Binjai,20748,(061)-8829404,-,04/06/2018
1174019,09/01/2014,RS Umum Bunga Melati,RSU,D,dr. YUDI HARISANOZA,"Jl. Samudra Baru No.3, Keude Aceh Kec. Banda Sakti",Perorangan,Kota Lhokseumawe,24300,0645-44821,0645-48600,01/06/2018
3572010,14/03/2013,RS Umum Daerah Mardi Waluyo,RSU,B,"dr. RAMIADJI, Sp.B","Jl. Kalimantan 113, Kota Blitar",Pemkot,Kota Blitar,66131,0342-802118,0342-809740,31/05/2018
5202024,26/01/2018,RS Cahaya Medika,RSU,D,WAHYU WIRAWAN TRIYONO,Jl. Gajah Mada No. 37 Leneng Praya,Perusahaan,Lombok Tengah,83515,0370-654177,-,31/05/2018
3278081,31/12/2013,RS Umum Prasetya Bunda,RSU,D,"Dr. H. Muzwar Anwar, MM.Kes","Jl. Ir. H. Juanda No.1, Indihiang Kota Tasikmalaya",Swasta/Lainnya,Kota Tasikmalaya,46151,0265344477,0265-342496,30/05/2018
3175385,31/01/2012,RS Umum Mitra Keluarga Kelapa Gading,RSU,B,dr. Julia Sutandar,Jl. Bukit Gading Raya Kav.2,Swasta/Lainnya,-,14240,021-45852700,021-45852727,24/05/2018
3306082,02/02/1994,RS Umum Panti Waluyo Yakkum Purworejo,RSU,D,"dr. REGOWO, M. Kes",Jl. Ahmad Yani No. 21 Purworejo,Organisasi Sosial,Purworejo,54111,0275-322-096,0275-322-096,24/05/2018
3501016,05/03/2017,RS Umum Daerah  dr. Darsono,RSU,C,"dr. Iman Darmawan, M.Kes",Jl. Ahmad Yani 51 Pacitan,Pemkab,Pacitan,63511,0357-881410,0357-883818,24/05/2018
1202028,01/01/2011,RS Umum Permata Madina Panyabungan,RSU,C,dr. Sartika Dewi Sihombing,Jl Merdeka No. 155 Kelurahan Kayu Jati Kecamatan Panyabungan,Organisasi Sosial,Mandailing Natal,22919,(0636)20279,(0636)20712,24/05/2018
6112002,31/07/2012,RS Ibu dan Anak Anugrah,RSIA,C,"dr. Hilmi Kurniawan Riskawa, Sp.A, M.Kes","Jl. Sungai Raya No. 43, Kecamatan Sungai Raya",Perorangan,Kubu Raya,78391,0561-721176,0561-721176,24/05/2018
3215165,23/09/2014,RS Umum Sentral Medika,RSU,D,Dr. Arief Yachya,Jl.Raya Cikalongsari No.42. Jatisari. Kab.Karawang,Perusahaan,Karawang,41374,(0264)-8375297,(0264)-8375297,24/05/2018
9204014,23/05/2018,RS Umum Daerah Serui,RSU,C,dr. Widiyanto Pratikto,"Jl. Pertanian Wainakawini - Kelurahan Anotaurei, Serui - Papua",Pemkab,Kepulauan Yapen,98211,0983-33344,0983-33344,23/05/2018
3310416,31/05/2013,RS Umum PKU Muhammdiyah DI,RSU,D,"dr. Muhamad Ma'mun Sukri, MPH.","Jl. Raya Delanggu Utara No. 19, Delanggu",Organisasi Islam,Klaten,57471,0272-551051,0272-554041,23/05/2018
3507108,25/04/2018,RS Umum Universitas Muhammadiyah Malang,RSU,C,"PROF. DR. dr. DJONI DJUNAEDI, SpPD, KPTI",JL. RAYA TLOGOMAS NO 45 MALANG,Swasta/Lainnya,Malang,65144,0341-561666/561,0341-561627,23/05/2018
