kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
5271010,31/01/2013,RS Umum Daerah NTB,RSU,B,"dr. H. Lalu Hamzi Fikri, MM, MARS",Jl. Prabu Rangkasari Dasan Cermen,Pemprop,Kota Mataram,83121,0370-7502424,0370-621345,29/09/2018
8171085,29/06/2012,RS Sumber Hidup GPM,RSU,C,"dr. Christoffel. Relmasira, MPH",Jl. Anthonie Rhebok No. 11,Organisasi Protestan,Kota Ambon,97126,0911352373,0911316107,29/09/2018
1371451,21/03/2012,RS Ibu dan Anak Cicik,RSIA,C,dr. Kharisma Rosa,Jl. Dr.Sutomo No 94 Padang,Swasta/Lainnya,Kota Padang,25125,0751-38846,0751-841286,29/09/2018
1275298,04/01/2012,RS Umum Mitra Sejati,RSU,B,"dr. H. Azwar M.Lubis, MHA",Jl Jend. AH Nasution No.7 Pangkalan Masyhur Medan,Perusahaan,Kota Medan,20143,7875967,7850261,28/09/2018
3207012,20/02/2014,RS Umum Daerah Kab. Ciamis,RSU,C,"Dr.dr. H.ACENG SOLAHUDIN AHMAD, M.Kes",Jl. Rumah Sakit No.76 Ciamis,Pemkab,Ciamis,46211,0265-772118,0265-772118,28/09/2018
9271078,14/10/2013,RS Umum Daerah Yowari Sentani,RSU,C,Dr.dr.Petronella,"Jl. Raya Sentani - Depapre,Doyo Baru",Pemkab,Jayapura,99352,0967-5192880,0967-5192880,28/09/2018
7571022,16/02/2012,RS Ibu dan Anak Siti Khadidjah,RSIA,C,"dr. H. Elson Djakaria, Sp.OG",Jl. Nani Wartabone No. 101,BUMN,Kota Gorontalo,96114,0435-821253,0435-821253,28/09/2018
1471386,20/03/2012,RS Ibu dan Anak  Annisa,RSIA,C,"dr. H.Djasmudin Djalal, MKM",Jl Garuda No.66 Kel.Tangkerang Tengah Kec.Marpoyan Damai,BUMN,Kota Pekanbaru,28282,0761-848652,0761-44298,28/09/2018
1671331,26/05/2013,RS Bhayangkara Palembang,RSU,C,"dr. WAHONO EDHI P., Sp.PD.","JL. JENDERAL SUDIRMAN KM 4,5 Palembang Sumatera Selatan",POLRI,Kota Palembang,30128,0711-414855,0711-410023,28/09/2018
3216443,08/08/2018,RS Grha MM2100,RSU,C,"drg. Kuntari Retno, MARS","Jl. Kalimantan Blok CB No.1 Kawasan Industri MM2100, Gandasari, Cikarang Barat",Swasta/Lainnya,Bekasi,17530,02150570999,-,28/09/2018
1871020,24/12/2013,RS Umum  Mardi Waluyo,RSU,C,"drg.Budiono,MARS","Jl. Jenderal Sudirman 156,Kota Metro, Lampung",Organisasi Sosial,Kota Metro,34111,0725-42512,0725-43053,27/09/2018
3311224,06/01/2015,RS Umum Dr. Oen Solo Baru,RSU,C,"Dr. Wibowo Sudajana,M.Kes",Komplek Perumahan Solo Baru Kec.Grogol Sukoharjo,Organisasi Sosial,Sukoharjo,57552,0271-620220,0271-622555,27/09/2018
3312273,27/09/2018,RS Umum Marga Husada,RSU,D,"dr. Suhari Affandi,SpOG","Jl. Letjen S.Parman No. 4 Selogiri,Wonogiri",Swasta/Lainnya,Wonogiri,57652,0273321394,0273321688,27/09/2018
3471303,27/09/2018,RS Khusus Ibu dan Anak 45 Prof. Dr. Ismangoen,RSIA,C,"DR. dr. Bambang Hariwiyanto, SpTHT.",Jl Patangpuluhan No. 35 Yogyakarta,Organisasi Sosial,Kota Yogyakarta,55251,0274376962,0274376962,27/09/2018
3578111,06/01/2014,RS Islam Surabaya,RSU,B,"Dr. H. Samsul Arifin, MARS",Jl. Jend A Yani 2-4 Surabaya,Swasta/Lainnya,Kota Surabaya,60243,031-8284505,031-8284486,27/09/2018
3321034,17/02/2012,RS Umum Pelita Anugerah,RSU,C,"dr. Endang Agustinar, M.Kes","Jl. Raya Bandung Rejo Km 11,5, Mranggen Demak",Swasta/Lainnya,Demak,59567,(024)-672-5555,(024)-672-5550,27/09/2018
1709038,31/01/2013,RS Umum Daerah Bengkulu Tengah,RSU,D,Dr. Listikarini Hilen Widyastuti,"Jl. Raya Bengkulu - Kepahiang  Km.27,5 Desa Durian Demang Kecamatan Karang Ti",Pemkab,Bengkulu Tengah,38382,0736-7342598,0736-,27/09/2018
6301014,06/11/2014,RS Ibu dan Anak Ainun,RSIA,C,dr. Gusti Rifaniansyah Rusli,Jl. Matah No. 39 RT. 6 RW. 2,Organisasi Sosial,Tanah Laut,70812,051221131,051221131,27/09/2018
1409016,20/04/2018,RS Umum  Regita Medika,RSU,D,"dr, Kamalia Susanti",Jl Lintas Sumatera RT.019/RW.007 Kepenghuluan Ujung Tanjung Kecamatan Tanah Put,Swasta/Lainnya,Rokan Hilir,28983,085364697777,-,27/09/2018
