kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3210037,19/04/2017,RS Ibu dan Anak Mitra Plumbon Majalengka,RSIA,C,dr. Raymond Gasbara Pribadi,Jl. Raya Barat Pasar Prapatan No. 109,Perusahaan,Majalengka,45455,0233-511522,-,23/04/2018
1901031,20/04/2018,RS  Umum Medika Stannia,RSU,C,"dr. H. Khairul Saleh, Sp.PD","Jl. Jend. Sudirman No.03, Kel.Sungailiat Kec.Sungailiat",Organisasi Sosial,Bangka,33211,0717-95837,0717-93335,22/04/2018
3327021,08/07/2014,RS Umum Santa Maria Pemalang,RSU,C,"dr. Widodo Yulianto, M. Kes","Jl. Pemuda No. 24,Pemalang",Organisasi Katholik,Pemalang,52313,0284-321251,0284-322335,21/04/2018
3402064,28/11/2011,RS Umum Rachma Husada,RSU,D,"dr. Sulistyowati, MS, MP.d",Jl Parantritis Km.16 Gerselo Patalan Jetis Bantul,Organisasi Sosial,Bantul,55781,6460091,6460089,21/04/2018
3216441,11/09/2017,RS Umum Permata Keluarga Jababeka,RSU,C,dr. Y Bambang Sulistyo,Jl. DR. Cipto Mangunkusumo Blok A Nomor  1 A Medical City Kota Jababeka,Swasta/Lainnya,Bekasi,17550,021-29083399,021-89321010,21/04/2018
3215100,13/02/2013,RS Umum Delima Asih Sisma Medika,RSU,D,"Dr. Miftahul Huda,MARS","Jl. Wirasaba No.54, Johar - Karawang",Swasta/Lainnya,Karawang,41313,403073,405598,20/04/2018
3471063,05/01/2015,RS Bethesda Yogyakarta,RSU,B,"Dr. Sugianto,Sp.S.M.Kes,Ph.D.",Jl Jend. Sudirman No. 70 Kotabaru Yogyakarta,Organisasi Sosial,Kota Yogyakarta,55224,0274-586688,0274-563312,20/04/2018
3523053,15/01/2012,RS Nahdlatul Ulama,RSU,C,"dr. Didik Suharsoyo, M.ARS., M.M.",Jl. Letda Sucipto No. 211 Tuban,Swasta/Lainnya,Tuban,62319,(0356)-328-299,(0356)--,20/04/2018
3515134,09/04/2012,RS Ibu dan Anak Buah Delima,RSIA,C,dr. ADI WIBOWO,jl.Sunandar priyo sudarmo 154 sidoarjo,Organisasi Sosial,Sidoarjo,6,031-8056911,-,20/04/2018
3314092,11/02/2017,RS Umum Islam Yakssi Gemolong,RSU,D,"dr.S.Budi Yuwono,Sp B","Jln. Raya Solo-Purwodadi Km.20, Gemolong",Perusahaan,Sragen,57274,(0271)-6811336,(0271)-6811336,20/04/2018
3213046,13/01/2015,RS Umum Indosehat 2003,RSU,D,"dr. Erik Maruapey, MARS",Jl. Raya Subang KM 28 Cipendeuy Subang,Swasta/Lainnya,Subang,41272,0260-713324,0260-713265,20/04/2018
1172016,12/11/2013,RS Umum Daerah Sabang,RSU,C,"dr. Abdul Muhaimin,M.ScSp,B(k)Onk",Jl. Teuku Umar Sabang,Pemkot,Kota Sabang,23511,0652-22156,0652-22156,19/04/2018
3215134,27/12/2013,RS Umum Izza,RSU,C,Dr. Susi Kurnia Riza,"Jl. Raya Ciselang Cikampek Utara, Kotabaru Kab.Karawang",Swasta/Lainnya,Karawang,41374,0264-8386830-32,0264-8386829,19/04/2018
3275046,05/01/2015,RS Umum Mitra Keluarga Bekasi Timur,RSU,B,DR. WIDYA RETNO WULANDARI,"JL. Pengasinan, Rawa Semut, Margahayu Bekasi Timur",Perusahaan,Kota Bekasi,17113,(021)-8817777,-,19/04/2018
1222002,19/04/2018,RS Umum Daerah Kota Pinang,RSU,C,"dr. Suraji Mochammad Musa, Sp. OG",Jl Istana No. 26,Pemkab,Labuhan Batu Selatan,21464,0624-496766,0624-496766,19/04/2018
7603024,07/12/2016,RS Umum Daerah Kondosapata Kab. Mamasa,RSU,D,"dr. Adriana Randabunga, MARS",Jl. Poros Mamasa-Polewali Desa  Balla Kecamatan Balla,Pemkab,Mamasa,91366,-,-,19/04/2018
3578773,06/07/2012,RS Ibu dan Anak Bantuan 05.08.05 Surabaya,RSIA,C,"dr. Dini Heriyanto, SpPD",Gubeng Pojok No.21 Surabaya,TNI AD,Kota Surabaya,60131,031-5310069-/-F,0315464215,19/04/2018
6303028,23/01/2014,RS Ibu dan Anak Mutiara Bunda,RSIA,C,"dr. Anindya Wisastra Inggas Ariawan, M.K",Jl. Taisir no.2 Kelurahan Jawa,Perorangan,Banjar,70614,0511-4721901,0511-4720664,19/04/2018
3510107,06/06/2016,RS Ibu dan Anak Abdhi Famili,RSIA,C,dr. Tri Suastono Sp.OG,Jl. Diponegoro No. 5 Wringinrejo RT 005 / RW 005 Gambiran Banyuwangi,Swasta/Lainnya,Banyuwangi,68486,0333-842219,0333-842723,19/04/2018
