kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3216423,08/05/2014,RS Umum Kartika Husada,RSU,C,dr. Rocky Montolalu,Jl. Swatantra no. 72 Jatiasih Bekasi,Swasta/Lainnya,Kota Bekasi,17423,021-82435587,82435586,08/08/2018
3578786,04/11/2014,RS Mata Masyarakat Jawa Timur,RSK Mata,B,"dr. Dyah Wiryastini, MARS",JL. Gayung Kebonsari Timur No 49 Surabaya,Pemprop,Kota Surabaya,60231,(031)-82010000,(031)-8283508,08/08/2018
3525095,02/03/2015,RSU PKU Muhammadiyah Sekapuk,RSU,D,"dr. Umi Julaikah, M. Kes",Jln. Raya Deandles No. 21 Sekapuk Ujung Pangkah Gresik,Swasta/Lainnya,Gresik,61154,031-3940876,031-3942410,08/08/2018
1801016,16/06/2015,RS Ibu dan Anak Bunda,RSIA,C,"dr. Adhi Mahabudi Duarsa, Sp.OG","Jl. Raden Intan II, No.36, Kelurahan Way Mengaku, Kecamatan Balik Bukit",Perusahaan,Lampung Barat,34812,072821378,072821379,08/08/2018
3209054,25/12/2015,RS Umum Permata Cirebon,RSU,B,dr. Asad Sp.THT-KL,Jl. Tuparev No.117 Cirebon,Swasta/Lainnya,Cirebon,45153,0231-8338877,(0231)8338899,08/08/2018
3301112,21/05/2018,RSU Raffa Majenang,RSU,D,dr Intan Tragediantie Pertami,Jl. Bhayangkara No. 69 Kecamatan Majenang,Swasta/Lainnya,Cilacap,53257,0280621137,-,08/08/2018
3603188,07/03/2017,RS Ibu dan Anak Bunda Sejati,RSIA,C,dr. Febriyanti Eka Lukmana. MM,Jl Prabu Siliwangi No 11 Jatiuwung Tangerang,Swasta/Lainnya,Tangerang,15134,0215900136,0215900056,08/08/2018
3171800,04/09/2017,RS Umum Daerah Jati Padang,RSU,D,dr.RISMASARI,Jl. Raya Ragunan No. 16 dan 17,Pemprop,Kota Jakarta Selatan,12520,(021)-22784477,(021)-22784446,08/08/2018
1277027,11/11/2017,RS Metta Medika,RSU,D,dr. Feranika,Jl. Sisingamangaraja No. 113 Padang Sidempuan,Perusahaan,Kota Padang Sidempuan,22721,0634-4320777,0634-4320706,08/08/2018
1108015,31/12/2015,RS Umum Daerah Kabupaten Aceh Besar,RSU,C,dr. Bunaya Putra,Jl. Banda Aceh-Medan KM.25 Sinyeu Indrapuri,Pemkab,Aceh Besar,23363,0651-8070165,0651-8070212,07/08/2018
1207052,00/00/0000,RS Umum Sri Torgamba,RSU,D,dr. N. Junedi Nasution,Jln. Lintas Sumatera - Riau KM. 380,BUMN,Labuhan Batu Selatan,21464,0811-623-3117,-,07/08/2018
7371414,07/08/2018,RS Ibu dan Anak Prof. dr. H. M. Farid,RSIA,C,"dr. Retno Budiati Farid, Sp.OG (K)",Jl. Dr. Wahidin Sudirohusodo No. 230 Makassar 90173,Swasta/Lainnya,Kota Makassar,90243,0411-3619745,-,07/08/2018
1707026,31/01/2009,RS Umum Daerah Lebong,RSU,D,dr. Ari Afriawan,Desa Muning Agung Kecamatan Lebong Sakti,Pemkab,Lebong,39164,-,-,07/08/2018
1871223,00/00/0000,RS Khusus Mata Permana Sari,RSK Mata,C,"Dr. Hadien Subardi,SPM","Jl. HOS Cokroaminoto,B Lampung",Organisasi Sosial,-,0721,261432,261432,07/08/2018
1871438,07/08/2018,RS Bhayangkara Polda Lampung,RSU,C,"dr. M. FAIZAL ZULKARNAEN, Sp. KF. MH.Kes",Jl. Pramuka No.88 Rajabasa Bandar Lampung,POLRI,Kota Bandar Lampung,0721,706402,706402,07/08/2018
3175352,01/03/2013,RS Umum Pantai Indah Kapuk,RSU,B,"Dr.Th.Peter Budisusetija, MARS","Jl. Pantai Indah Utara 3 Pantai Indah Kapuk, Kapuk Muara, Penjaringan",Swasta/Lainnya,Kota Jakarta Utara,14460,021-5880911,021-5880910,07/08/2018
3273405,16/01/2013,RS Umum Daerah Kota Bandung,RSU,B,"dr. Exsenveny Lalopua, M.Kes","Jl. Rumah Sakit 22 Ujung Berung, Kota Bandung",Pemkot,Kota Bandung,40612,022-7811794,022-7809581,07/08/2018
3276146,17/04/2013,RS Umum Hasanah Graha Afiah,RSU,C,"DR.dr.Sandi Iljanto,M.P.H",Jl. Raden Saleh No.42 (Studio Alam TVRI) Depok,Perusahaan,Kota Depok,16412,02177826267,02177826260,07/08/2018
3301073,12/01/2016,RS Umum Islam Fatimah,RSU,C,"Dr. Hj. Tutuk Suwartiningrum, M.Kes",Jl. Ir.H.Juanda No.20 Cilacap,Organisasi Islam,Cilacap,53235,0282-542396,0282-541065,07/08/2018
