kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3371084,06/03/2013,RS Umum Lestari Raharja,RSU,D,Dr. Benyamin Tri darma,"Jl. Sutopo No.5,Magelang",Organisasi Sosial,Kota Magelang,56121,0293-362225,0293-362649,08/08/2018
3373016,04/03/2012,RS Umum Daerah Salatiga,RSU,B,"Dr. Sri Pamuji Eko Sudarko, M. Kes","Jl. Osamaliki No.19,Salatiga",Pemkot,Kota Salatiga,50721,0298-324074,0298-321925,08/08/2018
3507015,03/04/2013,RS Bala Keselamatan Bokor,RSU,D,"RR. Jeny Mawarwati, drg,M.Kes","Jl. A.Yani 91 Turen , Kab.Malang",Swasta/Lainnya,Malang,65175,0341-824453,0341-823878,08/08/2018
3515096,17/11/2011,RS Umum Delta Surya,RSU,C,"Dr. Maya Syahria Saleh, M.Kes",Jl. Pahlawan No. 09 Sidoarjo,Perusahaan,Sidoarjo,61213,8962531,8963145,08/08/2018
3578086,12/09/2015,RS Primasatya Husada Citra (PHC) Surabaya,RSU,B,"dr. Pudji Djanuartono, M.Kes",Jl. Prapat Kurung Selatan no 1 Tanjung Perak Surabaya,Swasta/Lainnya,Kota Surabaya,60165,031-3294801-3,031-3294804,08/08/2018
3578202,06/01/2014,RS Mata Undaan,RSK Mata,B,"dr. Sudjarno, Sp.M (K)",Jl. Undaan Kulon 17-19 Surabaya,Organisasi Sosial,Kota Surabaya,60274,031-5319619,031-5317503,08/08/2018
3603093,21/09/2016,RS Ibu dan Anak Putra Dalima,RSIA,C,"Dr.Taufik Chaldun,SpOG","Bumi Serpong Damai Sektor 1-2 Blok K/5-UA/26-27,Tangerang",Swasta/Lainnya,Kota Tangerang Selatan,15318,(021)5388279,(021)5381220,08/08/2018
3603010,07/08/2018,RS Umum Daerah Kabupaten Tangerang,RSU,B,"drg. Hj. Naniek Isnaini L, M.Kes","Jl. A Yani No. 9 Tangerang, Kota Tangerang",Pemkab,Kota Tangerang,151111,021-5523507,021-5527104,08/08/2018
5108020,00/00/0000,RS Tk.IV Singaraja,RSU,D,"dr. Rinie Indah Chandra Wirasati, Sp.KJ",Jl. Ngurah Rai No. 70 Singaraja,TNI AD,Buleleng,81113,(0362)-21921,(0362)-21921,08/08/2018
5302023,11/12/2017,RS Umum Daerah Waingapu,RSU,C,"dr. Lely Harakai, M.Kes",Jl. Adam Malik No.54 Kel. Kambajawa - Kecamatan Kota Waingapu,Pemkab,Sumba Timur,87112,(0387)61302,(0387)-62551,08/08/2018
5305015,31/10/2013,RS Umum Daerah Kefamenanu,RSU,C,"Dr. Agustina Tanusaputra, M.Kes",Jl. Letjen Suprapto Kefamenanu,Pemkab,Timor Tengah Utara,85612,(0388)31121,(0388)31149,08/08/2018
6171022,09/05/2013,RS Tk.II Kartika Husada Kes.Dam XII Tanjungpura,RSU,C,dr. Stefanus Dony,Jl. Adi Sucipto KM 6.5 Sei Raya Kubu Raya,TNI AD,Kubu Raya,78391,0561---721391,0561---721392,08/08/2018
7471044,08/08/2018,RS Santa Anna,RSU,C,"dr. Mario Polo Widjaya, M.Kes., Sp OT.",Jl. Dr. Moh.Hatta 65A Kendari,Organisasi Sosial,Kota Kendari,93124,0401-3123092,0401-3124872,08/08/2018
9101010,14/03/2017,RS Umum Daerah Fakfak,RSU,C,dr. Maulana K. Patiran,Jl. Jend Sudirman Fak Fak,Pemkab,Fakfak,98613,0956---22373,0956---22373,08/08/2018
7201011,24/11/2010,RS Umum Daerah Banggai,RSU,C,dr. MUHAMMAD MAMANG,Jl. KM 7.Adean Kabupaten Banggai Laut,Pemkab,Banggai Laut,94891,0462-2707415,-,08/08/2018
3302052,12/11/2010,RS Khusus Bedah Orthopedi,RS O,C,"dr. Rosa Indiarto, MM",JL Soepardjo Rustam No. 99 Sokaraja Kab. Banyumas,Swasta/Lainnya,Banyumas,53181,0281-6844166,0281-6844188,08/08/2018
3515126,14/02/2012,RS Umum Al-Islam H. M. Mawardi,RSU,C,"drg. Retnowati H, MM.",Jl. Kyai Mojo No.12A Jeruk Gamping Krian Sidoarjo,Organisasi Islam,Sidoarjo,61262,(031)-8973379,(031)8987331,08/08/2018
1810003,12/08/2014,RSU Surya Asih,RSU,D,dr. Hetti Frawati.Br Simamora,"Jl. A. Yani No.51, Pringsewu",Perorangan,Pringsewu,35373,0729---21162,0,08/08/2018
3578772,29/06/2017,RS Bedah Surabaya,RSK Bedah,B,"Priyanto Swasono, dr., MARS","Jl. Manyar No.9, Surabaya",Perusahaan,Kota Surabaya,60284,0315999369,0315995284,08/08/2018
