kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
1274034,19/01/2015,RS Umum Sri Pamela,RSU,C,"dr. Hj. Nina Zuliani, MARS",Jl Jend Sudirman  No. 299,BUMN,Kota Tebing Tinggi,20615,0621-24748,0621-23987,23/02/2016
1371032,18/02/2016,RS Umum Yos Sudarso,RSU,C,dr. Erlis Beby Julianto,"Jl. Situjuh No. 1,Padang",Organisasi Katholik,Kota Padang,25125,33230-/-33231,31811,18/02/2016
3306105,17/02/2016,RS Ibu dan Anak Permata,RSIA,C,dr. Arum Dina Kusuma Asih,jl. Mayjend Sutoyo No. 75 Rt 05 Rw 05,Perusahaan,Purworejo,54113,0275321031,-,17/02/2016
1171085,09/01/2015,RS Umum Malahayati,RSU,Belum ditetapkan,"dr. Rusli Ali, Sp.THT-KL","Jl. Cut Nyak Dhien No : 498 ,Banda Aceh",Organisasi Sosial,Kota Banda Aceh,23236,0651--46115,41517,15/02/2016
1171148,14/05/2014,RS Umum Bulan Sabit Merah Indonesia Aceh,RSU,C,dr. Hendri Saputra,"Jl. Sultan Malikul Saleh No. 17 Lamlagang, Kec. Banda Raya",Organisasi Sosial,Kota Banda Aceh,23239,0651-638701,-,15/02/2016
1107016,20/11/2014,RS Umum Harapan Sehat,RSU,D,DR. RAHMAT IRDIANSYAH,Jl. Sisingamangaraja Ds Gampa,Swasta/Lainnya,Aceh Barat,23617,085260859947,0655-7551735,15/02/2016
3216427,08/04/2015,RS Umum Cikunir,RSU,D,dr. Ines Marianne Santoso,Jl. Cikunir Raya Gang Hj. Napiah No.8 - Jakamulya Kota bekasi,Swasta/Lainnya,Kota Bekasi,17146,(021)-82437322,-,15/02/2016
3315057,06/10/2008,RS Umum Habibullah,RSU,D,"dr. H. Zaim Setiawan, Sp.A",Jl. Raya Tahunan Kec.Gabus Kab.Grobogan,Organisasi Sosial,Grobogan,58183,(0292)5160447,(0292)5160477,12/02/2016
5315002,04/02/2016,RS Siloam Labuan Bajo,RSU,C,"dr. Christian R. Tilaar, MSc",Jl. Gabriel GampurKecamatan Komodo - Labuan BajoKab. Manggarai Barat,Swasta/Lainnya,Manggarai Barat,-,0385-2381900,-,12/02/2016
3374032,00/00/0000,RS Umum William Booth,RSU,C,"Dr. Sri Kadarsih, MM","Jl. LetJen. S. Parman No. 5, Semarang",Organisasi Sosial,Kota Semarang,50231,024-8411800,024-8448773,10/02/2016
3374043,12/01/2013,RS Umum Telogorejo Semarang,RSU,B,"Dr. Imelda Tandiyo,FASE,MM.",Jl. KH. Ahmad Dahlan Semarang,Organisasi Sosial,Kota Semarang,50136,024-8446000,024-8317410,09/02/2016
3302063,09/02/2016,RS Khusus Bedah Jatiwinangun,RSK Bedah,C,"Dr. H. Achmad Santosa, Sp.B, FlnaCs","Jl. Jatiwinangun No.54, Purwokerto",Swasta/Lainnya,Banyumas,53114,0281-638169,0281-623938,09/02/2016
3308019,10/12/2014,RS Umum Padma Lalita,RSU,D,"dr. Tri Wuryaningsih, M.Kes.",Jl. Raya Klangon Km. 10 Muntilan,Swasta/Lainnya,Magelang,56411,0293-585359,-,07/02/2016
7471004,06/02/2016,RS Ibu dan Anak Dewi Sartika,RSIA,Belum ditetapkan,"dr. H. M. Rinvil Amiruddin, M. Kes",Jl. Kapten Piere Tendean No. 118,Swasta/Lainnya,Kota KENDARI,93117,0401-3194493,0401-3194493,06/02/2016
3301105,03/02/2016,RS Umum Aprilia,RSU,C,dr. Suprihadiyono,Jl. Jend. Gatot Subroto 95 Cilacap,Organisasi Sosial,Cilacap,53223,(0282)536307,(0282)521144,05/02/2016
3305118,05/02/2016,RS Umum Muhammadiyah Kutowinangun,RSU,D,dr Rheni Haryanti,Jl. Pemuda No 12 Kutowinangun,Organisasi Islam,Kebumen,54393,(0287)-661137,0287-661137,05/02/2016
3315058,02/02/2016,RS Umum Enggal Waras,RSU,D,"dr. Panji Aryo Prabowo, M.Kes, Sp.PD",Jl.Karangrayung Km. 3 Ds. Kemloko Kec. Godong Grobogan,Organisasi Sosial,Grobogan,58162,0292-659294,-,02/02/2016
3404183,06/10/2011,RS Umum PKU Muhammadiyah Gamping,RSU,C,"dr. H. Ahmad Faesol, Sp. Rad. M. Kes.","Jl. Wates KM 5,5 Gamping Sleman",Organisasi Sosial,Sleman,55294,"0274-6499704,",02746499727,01/02/2016
5310023,00/00/0000,RS St Elizabeth Lela,RSU,D,dr. Erman Muliawan,"Lela Maumere,Kab.Sikka",Organisasi Katholik,Sikka,86161,081353782435,-,28/01/2016
