kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3174515,23/07/2013,RS Khusus Mata Jakarta Eye Center Kedoya,RSK Mata,A,"Dr. Johan A. Hutauruk, SpM",Jl. Terusan Arjuna Utara 1,Perorangan,Kota Jakarta Barat,11520,021-29221000,021-25696060,02/02/2018
1171041,25/12/2012,RS Jiwa Banda Aceh,RS Jiwa/ RSKO,A,"dr. Amren Rahim, M.Kes","Jl. Dr.T.Syarief  Thayeb,No.25 Banda Aceh",Pemprop,Kota Banda Aceh,23126,0651-32020,0651-25857,01/02/2018
1871405,27/11/2012,RS Umum Urip Sumoharjo,RSU,B,dr. Novayanti. MM-BAT,"Jl. Urip Sumoharjo No.200,Bandar Lampung",Perusahaan,Kota Bandar Lampung,0721,771321,771322,01/02/2018
7102014,20/10/2013,RS Umum Dr.Sam Ratulangi,RSU,C,"dr. Maryani Suronoto, M,Biomed",Jl. Suprapto Luaan Tondano timur,Pemkab,Minahasa,95614,0431-321171,0431-321172,01/02/2018
1671254,00/00/0000,RS Ibu dan Anak Tiara Fatrin Palembang,RSIA,C,"dr.Nurul Komariah AS, MARS","Jl. Rajawali No.495-496,Palembang",Swasta/Lainnya,Kota Palembang,30113,0711-353438,0711-322528,31/01/2018
3309107,25/02/2010,RS Umum Daerah Simo,RSU,D,"dr. FX. Kristandiyoko, MPH","Jl. Kebon Ijo Ds.Simo Kec.Simo, Boyolali",Pemkab,Boyolali,57377,0276-3294719,0276-3294719,31/01/2018
3528013,02/01/2011,RS Umum Daerah Dr. H. Slamet Martodirdjo Pamekasan,RSU,B,"Dr. H. Farid Anwar, M.Kes.","Jl. Raya Panglegur No.4, Pamekasan",Pemkab,Pamekasan,69317,0324-326242,0324-326242,31/01/2018
5101016,07/01/2014,RS Umum Daerah Negara,RSU,C,"dr. Made Dwipayana, MPPM",Jl. Wijaya Kusuma 17 Negara,Pemkab,Jembrana,82212,0365-41006,0365-41006,31/01/2018
1674003,12/12/2017,RS Siloam Silampari,RSU,C,Mgs Johan T Saleh,Jl Yos Sudarso Rt 11 Kelurahan Taba Jemekeh Kecamatan Lubuklinggau Timur 1,Swasta/Lainnya,Kota Lubuk Linggau,31625,0733-3035900,0733-3035900,31/01/2018
8103020,15/03/2017,RSUD Kab. Buru,RSU,D,dr. Helmi Koharjaya,Jl. Butung Leong No. 1 Desa Lala Kab.Buru,Pemkab,Buru,97571,-,-,31/01/2018
1671337,27/04/2015,RS Ibu dan Anak Trinanda Palembang,RSIA,Belum ditetapkan,"dr. Eva Fitria, M.Kes",Jl. RE. Martadinata No. 6-8 Palembang,Swasta/Lainnya,Kota Palembang,30116,0711-716643-/-0,0711-712347,31/01/2018
1309011,26/06/2015,RS Umum Daerah Lubuk Sikaping,RSU,C,Dr. Yong Marzuhaili,"Jl. Jen Sudirman No.33,Lubuk Sikaping",Pemkab,Pasaman,26311,075320033,075320033,30/01/2018
3404022,22/08/2009,RS Jiwa Grhasia,RS Jiwa/ RSKO,A,"dr. Etty Kumolowati, M.Kes",Jl. Kaliurang Km. 17 Pakem Sleman DIY,Pemprop,Sleman,55582,0274-895143,0274-895142,30/01/2018
7602044,31/12/2017,RS Umum Daerah Polewali,RSU,C,"Dr. Hj. Syamsiah, M.Si, M.Kes",Jl. Dr Ratulangi No. 50 Polewali,Pemkab,Polewali Mandar,91315,0428-21451,0428-21345,30/01/2018
7171103,30/03/2017,RS Umum Daerah Provinsi Sulawesi Utara,RSU,B,"Dr. Greity I. Giroth, M.Kes",Jl. Bethesda No. 77 Manado,Pemprop,Kota Manado,95115,0431865559,0431865559,30/01/2018
1671050,00/00/0000,RS Umum RK Charitas,RSU,B,dr. Bernadus Freddy Suharto,"Jl. Sudirman 1054,Palembang",Organisasi Sosial,Kota Palembang,30129,0711-353374,0711-362205,29/01/2018
3375022,02/01/2014,RS Umum Budi Rahayu,RSU,C,"Dr. Pradipto Lunggono, Sp.THT",Jl. Barito No. 5 Pekalongan,Organisasi Protestan,Kota Pekalongan,51116,0285-423491,0285-432002,29/01/2018
3510043,26/01/2015,RS Umum Daerah Genteng,RSU,C,"Dr. Hj. Indah Sri Lestari, MMRS","Jl. Hasanudin No.98, Genteng, Banyuwangi",Pemkab,Banyuwangi,68465,0333-845839,0333-846917,29/01/2018
7102040,12/06/2013,RS Siloam GMIM Sonder,RSU,D,"Dr. Arthur Mozes Lawalata, MARS","Kolongan Atas, Sonder",Organisasi Protestan,Minahasa,95691,0431-356673,0431-356673,29/01/2018
