kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3274053,27/08/2018,RS Umum Pelabuhan Cirebon,RSU,C,"dr. Danny Husni Nur Hakim, MARS.",Jl. Sisingamangaraja No.45 Cirebon 45112,BUMN,Kota Cirebon,45112,0231-205657,0231-234670,27/08/2018
3324036,10/12/2014,RS Umum Islam Kendal,RSU,C,"dr.Aldila S Al Arfah,MMR","Jl. Ar.Rahmah No.17 Ds. Ngasinan, Weleri,Kendal",Organisasi Islam,Kendal,51355,0294641870,0294644150,27/08/2018
3171056,09/01/2012,RS Khusus Kanker MRCCC Siloam Semanggi,RS Kanker,A,"dr. Adityawati Ganggaiswari, M. Biomed","Jl. Garnisun No. 2 - 3, RT 003, RW 004, Kel. Karet Semanggi, Kec. Setiabudi, Jak",Perusahaan,Kota Jakarta Selatan,12930,021-29962888,021-29962778,27/08/2018
3274090,25/11/2011,RS Umum Sumber Kasih,RSU,C,"dr. Lucia Dewi Puspitasari,MM",Jl. Siliwangi No.135 Cirebon,Swasta/Lainnya,Kota Cirebon,45124,0231-203815,0231-210040,26/08/2018
3319032,00/00/0000,RS Umum Mardi Rahayu,RSU,B,"Dr. Pujianto, M.Kes","Jl. AKBP R Agil 110,Kudus",Organisasi Sosial,Kudus,59346,0291--438234,0291--434711,25/08/2018
3328011,05/03/2013,RS Umum Daerah dr. Soeselo Slawi Kabupaten Tegal,RSU,B,"Plt. dr. TITIS CAHYANINGSIH, MMR",Jl. Dr. Sutomo No.63 Desa Slawi Kulon Kecamatan Slawi,Pemkab,Tegal,52419,0283-491016,0283-491016,25/08/2018
1275900,22/04/2014,RS Umum Fajar,RSU,Belum ditetapkan,dr.Fadli Armanto MM,Jl Cempaka No 35 Kec. Medan Polonia,Swasta/Lainnya,Kota Medan,20157,0617853738,-,25/08/2018
1671343,11/01/2016,RS Umum Ar-Rasyid Palembang,RSU,C,"KOL. CKM (P). dr. Toni Siguntang, Sp.THT",JL. H. M. Saleh No. 02 KM. 7 Kel. Sukarami Kec. Sukarami Palembang,Swasta/Lainnya,Kota Palembang,30151,0711-5610503,0711-5610502,25/08/2018
1109031,08/08/2018,RS Islam Ibnu Sina Sigli,RSU,A,"dr.Fanny Noviyanti,SE","Jl Lingkar Keunire no 21-24, Gampong Cot",Swasta/Lainnya,Pidie,24151,085277112772,-,25/08/2018
1771036,15/08/2018,RS Rafflesia Bengkulu,RSU,C,dr. Abdi Setia Kesuma,Jl. Mahoni No.10 Kelurahan Padang Jati Kecamatan Ratu Samban Kota Bengkulu,Organisasi Sosial,Kota Bengkulu,38227,0736-21710,0736-21954,24/08/2018
7401039,15/02/2015,RS Umum Daerah Kabupaten Buton Selatan,RSU,D,"dr. Frederik Tangke Allo, Sp.B",JL GAJAH MADA Kel. Laompo Kec. Batauga Kab. Buton Selatan Telp/Fax.(0402),Pemkab,Buton Selatan,93752,085257769540,-,24/08/2018
1610003,15/05/2013,RS Umum Daerah Kabupaten Ogan Ilir,RSU,D,dr. Roretta Arta Guna Riama,Komplek perkantoran pemerintah daerah ogan ilir desa sejaro sakti kecamatan indr,Pemkab,Ogan Ilir,30662,07117583023,-,24/08/2018
3603183,04/06/2015,RS Ibu dan Anak BUN,RSIA,C,"dr. Yuli Riviyanti, MARS",Jl. Raya Kosambi Timur no.2 RT. 011/004,Swasta/Lainnya,Tangerang,15213,021-29031299,021-291659,24/08/2018
1371464,12/05/2017,RS. Universitas Andalas,RSU,C,"Dr. dr. Yevri Zulfiqar, Sp. B-Sp.U","Kompleks kampus Unand, Limau Manis, Kec. Pauh, PADANG",Kementerian Lain,Kota Padang,25163,07514761008,07514761008,24/08/2018
1703027,28/10/2010,RS Bergerak Enggano,RSU,D,dr. Meinoffiandi Leswin,Jl. Raya Malakoni KM 3 Kecamatan Enggano Kabupaten Bengkulu Utara,Pemkab,Bengkulu Utara,38385,081271483567,-,23/08/2018
3174351,15/01/2017,RS Umum Siloam Hospitals Kebon Jeruk,RSU,B,"dr. Agus Tanjung, MHA",Jl. Perjuangan Raya Kav.8 Jakarta Barat,Swasta/Lainnya,Kota Jakarta Barat,11530,021-25677888,021-5300876,23/08/2018
3215078,31/12/2014,RS Umum Islam Karawang,RSU,C,"Dr. H. Agus M Sukandar, MH.,MMkes","Jl. Pangkal Perjuangan KM.2, Karawang",Organisasi Sosial,Karawang,41316,(0267)414522,(0267)413277,23/08/2018
3310015,29/10/2014,RS Umum Pusat Dr. Soeradji Tirtonegoro,RSU,A,"dr. Endang Widyaswati,M.Kes","Jl. KRT. Suraji Tirtonegoro No.1, Klaten",Kemkes,Klaten,57424,0272-321020,0272-321104,23/08/2018
3309129,15/10/2014,RS Umum Hidayah Boyolali,RSU,D,dr. Ida Wulandari,"Kragilan, Mojosongo, Boyolali",Swasta/Lainnya,Boyolali,57371,(0276)-324614,(0276)-325220,23/08/2018
