kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3318108,19/05/2016,RS Umum Keluarga Sehat,RSU,C,"Dr. Kelvin Kurniawan, M.Kes","Jl. P. Sudirman No.9, Margorejo - Pati",Organisasi Sosial,Pati,59163,0295-386111,0295-384422,11/08/2018
9227011,28/02/2018,RS Umum Daerah Supiori,RSU,Belum ditetapkan,dr. JENGGO SUWARKO,Jl. Raya Korido Marsram Supiori Timur - Supiori,Pemkab,Supiori,98161,082199313768,0,11/08/2018
7208012,31/01/2012,RS Ibu dan Anak Defina,RSIA,C,"dr. Adelina A.F Bofe, SpOG",Jln.Trans Sulawesi no.7 Kampal Parigi,Perorangan,Parigi Moutong,94471,045021915,(0450)-22010,11/08/2018
3325037,05/03/2013,RS Umum Qim,RSU,C,"dr. Ratna Ismoyowati, MARS","Jl. Urip Sumoharjo, Sambong",Swasta/Lainnya,Batang,51212,(0285)-4495-222,0285-4495224,11/08/2018
3578789,06/11/2015,RS Ibu dan Anak Kendangsari Surabaya,RSIA,C,dr. Hermien Hadiati,Jl. Raya Kendangsari No. 38 Surabaya,Swasta/Lainnya,Kota Surabaya,60292,031-8437200,031-8494484,11/08/2018
3216393,24/07/2012,RS Umum Mitra Keluarga Cikarang,RSU,B,dr.SRI WIDIYANINGSIH,"Jl. Induistri Raya 100, Lemah Abang",Perusahaan,Bekasi,17550,021-89890500,021-89845489,11/08/2018
3517093,27/03/2013,RS Al-Azis,RSU,D,Dr. JULIASTUTI,"Jl Raya Tembelang, Kec. Tembelang Kab. Jombang",Organisasi Islam,Jombang,61452,0321-853757,0321-853758,11/08/2018
3507107,27/05/2013,RS Ben Mari,RSU,D,"dr. Muhammad Ilyas MMRS.,Sp.An","JL.Raya Kendalpayak No.17, RT. 004, RW 007, Desa Kendalpayak, Kec. Pakisaji, Kab",Swasta/Lainnya,Malang,65162,(0341)-837666-/,-,11/08/2018
6474034,18/09/2013,RS Islam Bontang,RSU,D,dr. Hari Prasetya,Jl. Brigjen Katamso No.40,Swasta/Lainnya,Kota Bontang,75311,(0548)-20003,(0548)-22644,11/08/2018
1271032,15/01/2014,RS Umum Metta Medika,RSU,C,"dr. Ratnawati, M.MKes",Jl Sutoyo Siswomiharjo No 34 Sibolga,Perusahaan,Kota Sibolga,22522,0631---25007,0631---25006,11/08/2018
3216420,11/08/2018,RS Umum Medirossa 2,RSU,C,dr. Ongko Priyanto,"Jl. Raya Cibarusah, Ds Sindang Mulya No. 5 Cibarusah",Perusahaan,Bekasi,17340,021-89955555,021-89952355,11/08/2018
3216425,12/09/2014,RS Umum Bunda Mulia,RSU,D,dr. Leni Astuty,Jl. Imam Bonjol No. 80,Swasta/Lainnya,Bekasi,17250,021-8900579/891,021-89106633,11/08/2018
5303028,19/12/2014,RS Siloam Kupang,RSU,B,"dr. Yuli Butu, M.Sc PH",Jl. R. W. Monginsidi Kelurahan Fatululi Kecamatan Oebobo,Swasta/Lainnya,Kupang,85111,0380-8530900,0380-8530933,11/08/2018
3318113,25/08/2016,RS Umum As-Suyuthiyyah,RSU,D,dr. Aria Dewanggana,Jl. Raya Juwana - Tayu Km. 7 Guyangan Trangkil Pati Jawa Tengah,Swasta/Lainnya,Pati,59153,0295-4199057,0295471701,11/08/2018
3216435,04/06/2016,RS Umum Tarumajaya,RSU,D,dr. Taufiq A Bakar,"Jalan Raya Tarumajaya No. 1B, Pantai Makmur Tarumajaya, Bekasi",Swasta/Lainnya,Bekasi,17212,88992337,-,11/08/2018
3674019,31/10/2017,RSIA Prima Medika,RSAB,C,-,"Jl. WR. Supratman No 69, Pondok Ranji, Ciputat Timur",Swasta/Lainnya,Kota Tangerang Selatan,15412,0217425751,-,11/08/2018
6472130,23/04/2018,RS Hermina Samarinda,RSU,C,"dr.Anthony S,SpB,MARS",Jl.Teuku Umar Kelurahan Karang Asam Kecamatan Sungai Kunjang,Perusahaan,Kota Samarinda,75000,05412090707,05412773030,11/08/2018
1110075,05/05/2015,RS Umum Daerah Dr. Fauziah Bireun,RSU,B,"dr. Mukhtar, MARS",Jl. Mayjen T. Hamzah Bendahara No.13. Bireuen,Pemkab,Bireuen,24251,0644-21228,0644-21228,10/08/2018
1205013,07/01/2013,RS Umum Daerah Tarutung,RSU,B,dr. Henny Ganda Nainggolan,Jl Agus Salim No. 1 Tarutung,Pemkab,Tapanuli Utara,22411,0633-21303,0633-21303,10/08/2018
