kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
8101052,09/01/2015,RS Bergerak Kab. Maluku Tenggara Barat,RSU,D,dr. Fanno Letty,Jln. Ir. Soekarno,Pemkab,Maluku Tenggara Barat,97664,091821626,091821626,14/02/2017
3671043,21/11/2016,RS Sari Asih Karawaci,RSU,B,"Dr. H. Mahruzzaman Naim, Sp.A",Jl. Imam Bonjol No 38 Karawaci Sukajadi Kota Tangerang,Swasta/Lainnya,Kota Tangerang,15113,021-5522794,021-5525214,10/02/2017
7174004,07/02/2017,RS Ibu dan Anak Kasih Fatimah Kotamobagu,RSIA,C,"dr. Sitti Nariman Korompot, SpOG-K",Jl. Kolonel Soegiono No. 101 Kelurahan Kotabangon Kecamatan Kotamobagu Timur,Swasta/Lainnya,Kota Kotamobagu,95712,0434-2621404,-,09/02/2017
3329105,17/01/2014,RS Ibu dan Anak Permata Insani,RSIA,C,dr Ahmad Ali Syaifuddin,Jl. Yos sudarso No 38,Swasta/Lainnya,Brebes,52212,0283-673333,0283-673333,08/02/2017
3171713,04/01/2015,RS Bersalin Kartini,RS Bersalin,C,dr.Enrico A Rinaldi,"Jl. Ciledug Raya No.94-96 Cipulir, Keabayoran Lama",Swasta/Lainnya,Kota Jakarta Selatan,12230,7245646,7230703,07/02/2017
3214040,09/08/2016,RS Umum Karina Medika,RSU,Belum ditetapkan,dr. Dewi Indriani,JL Baru Kp. Krajan RT 01 RW 01 Kec. Babakancikao Kab. Purwakarta 41151,Perusahaan,Purwakarta,41151,0264-8220544,0264-8301768,02/02/2017
3578122,24/12/2013,RS Umum Tk. III Brawijaya,RSU,C,"Letkol Ckm dr. Mahendera Barata, Sp An",Jl. Kesatrian No.17 Surabaya,TNI AD,Kota Surabaya,60242,(031)-5682088,(031)-5611272,30/01/2017
3215056,14/09/2012,RS Umum Karya Husada,RSU,C,"dr. Pundi Ferianto, MARS",Jl. Jend. A.Yani No.98 Cikampek Karawang,Perusahaan,Karawang,41373,0264-316188/89,0264-312834,26/01/2017
7371422,22/08/2016,RS Khusus Gigi dan Mulut Universitas Hasanuddin,RSK Gigi dan Mulut,B,"drg. M. Ruslin, M.Kes., Sp.BM",JL. Kandea No. 5,Kementerian Lain,Kota Makassar,90156,0411-3616336,0411-3635302,25/01/2017
5171216,12/02/2012,RS Bhayangkara Denpasar,RSU,C,"dr. I G A A DIAH YAMINI D, SpTHT-KL",Jl. Trijata no.32 Denpasar,POLRI,Kota Denpasar,80233,0361-234670,0361-238235,16/01/2017
9102022,15/01/2017,RS Pembantu Manokwari,RSU,Belum ditetapkan,"Kapten Ckm Lahajiri lamusihidi, Amd.Kep",Jl. Brawijaya Kodim 1703 Manokwari,TNI AD,Manokwari,98311,211775,(0986)-211775,15/01/2017
3275141,15/03/2014,RS Umum Permata Bekasi,RSU,C,"dr. Untung Sugiharto, MARS","Jl. Legenda Raya No. 9 Mustika Jaya, Bekasi",Swasta/Lainnya,Kota Bekasi,17158,021-8251919,021-82609705,14/01/2017
1371460,14/10/2014,RS Ibu dan Anak Mutiara Bunda,RSIA,C,"Dr. Rismawati, M.Kes",Jl. S. Parman No.142 Padang,Perusahaan,Kota Padang,25135,(0751)-7054076,-,14/01/2017
9171047,20/01/2014,RS Angkatan Laut dr. R. Oetojo,RSU,D,Letkol Laut (K) dr Fransiscus Tanuardus,Jl. Jend. Ahmad Yani Klademak IIIC,TNI AL,Kota Sorong,98414,0951-323823,0951-323823,13/01/2017
1571163,05/02/2013,RS Umum Baiturahim Jambi,RSU,C,"dr. Dodi Alamsyah, MPH","Jl. Prof. M. Yamin SH, No. 30 Kel. Lebak Bandung",Swasta/Lainnya,Kota Jambi,36135,(0741)-35165,(0741)-5911099,12/01/2017
1276025,11/01/2014,RS Bangkatan PTPN II,RSU,C,"dr. H. Parlindungan Nst,M.AP",Jl. Hasanuddin No.40 Binjai,BUMN,Kota Binjai,20723,061-8821263,061-80044541,09/01/2017
3171680,31/07/2003,RS Umum Tria Dipa,RSU,C,"Dr. Dewo Aksoro Affandi, SpTHT-KLK","Jl. Raya Pasar Minggu No.3A,Jaksel",Swasta/Lainnya,Kota Jakarta Selatan,17280,021-7993058,021-(79188529),06/01/2017
3214037,17/01/2013,RS Umum Holistic Purwakarta,RSU,D,"dr. Fatimah, S.Si","Jl. Terusan Kapten Halim KM.09 Salamulya, Pondoksalam, Purwakarta",Perusahaan,Purwakarta,41172,(0264)-8223434,(0264)-8223477,05/01/2017
1171106,03/02/2012,RS Umum Teuku Fakinah,RSU,C,dr. Syamaun Ibrahim,"Jl. Jend.Sudirman 27-29,Banda Aceh",Organisasi Sosial,Kota Banda Aceh,23239,41454,42754,28/12/2016
