kode_rs,tanggal_registrasi,nama_rs,jenis_rs,kelas_rs,direktur,alamat,penyelenggara,kabupaten/kota,kode_pos,telepon,fax,tanggal_update
3578020,30/06/2015,RS dr. Ramelan,RSU,A,"dr. I.D.G Nalendra DI, Sp.B. Sp.BTKV(K)",Jl. Gadung No. 1 Surabaya,TNI AL,Kota Surabaya,60244,031-8438153,0318437511,27/01/2018
7403022,27/01/2018,RS Umum Daerah Konawe,RSU,C,"Dr. H.M. Agus S.Lahida,MMR","Jl. Pangeran Diponegoro No.301, Konawe",Pemkab,Konawe,93419,0408-2421014,0408-2422349,27/01/2018
5206030,29/12/2014,RS dr. Agung,RSU,D,drg. Hj. Siti Hadjar Joenoes,Jl. Ir. Sutami No. 1 Raba Dompu,Perusahaan,Bima,84113,0374-43834,0374-43834,27/01/2018
3274016,19/10/2011,RS Umum Daerah Gunung Jati,RSU,B,"dr. Bunadi, MKM",Jl. Kesambi No.56 Cirebon - 45134,Pemkot,Kota Cirebon,45134,0231-206330,0231-203336,26/01/2018
5308045,13/01/2017,RS Umum Daerah Lewoleba,RSU,C,dr. Bernardus Yoseph Beda,"Jl.Trans Lembata No.1,Lewoleba,Lembata",Pemkab,Lembata,86228,0383-2343442,0383-2343442,26/01/2018
6305010,27/01/2016,RS Umum Daerah Datu Sanggul Rantau,RSU,C,"dr. H. Milhan, Sp.Og, MM",Jl. Brigjend H. Hasan Basry Rantau,Pemkab,Tapin,71111,(0517)31075,(0517)31075,26/01/2018
6404043,18/10/2011,RS Umum Meloy,RSU,D,dr.Johan Tonglo,Jl.Yos sudarso II No.101,Swasta/Lainnya,Kutai Timur,0,0549-24222,0549-24222,26/01/2018
1872016,27/02/2016,RS Umum Daerah Ahmad Yani Metro,RSU,B,"Drg. Erla Andrianti, MARS",Jl.Jend. A.Yani No.13 Kota Metro,Pemkot,Kota Metro,34111,0725-48423,0725-48423,25/01/2018
3671054,15/11/2006,RS Siloam Hospitals Lippo Village,RSU,B,"Dr. Anastina Tahjoo, MARS",Jl. Siloam Lippo Karawaci Tangerang,Swasta/Lainnya,Tangerang,15811,021-5460055,021-5460921,25/01/2018
1812002,24/12/2014,RS Umum Asy-Syifa Medika,RSU,D,"dr. Herry Novrizal,MM.",Daya Asri RT/RW 002/002 Kecamatan Tumijajar Tulang Bawang Barat,Perusahaan,Tulang Bawang Barat,34692,0724-351113,0724-351113,25/01/2018
6306024,04/04/2016,RS Umum Daerah Daha Sejahtera,RSU,D,dr. Artaty,"Jl Pihanin Raya, Desa Pihanin Kecamatan Daha Selatan Kabupaten Hulu Sungai Sela",Pemkab,Hulu Sungai Selatan,71254,081256710001,0517-21497,25/01/2018
7471066,23/12/2013,RS  Jiwa Kendari,RS Jiwa/ RSKO,B,"dr. H. Abd. Razak, S.Ked, M.Kes",Jl. DR.Sutomo No.29,Pemprop,Kota Kendari,93000,0401-3122470,0401-3122591,24/01/2018
1209010,02/03/2015,RS Umum Balimbingan PTP 4,RSU,C,"dr. Arichta Maria, M. MKes","Desa Balimbingan, Kecamatan Tanah Jawa, Kabupaten Simalungun, Sumatera Utara",BUMN,Simalungun,21181,0622-7562036,0622-7562035,23/01/2018
1219003,27/10/2012,RS Umum Daerah Batu Bara,RSU,C,dr. Juri Freza,"Jl Datuk Kubah Batu Bara, Kwala  Gunung Kec. Lima Puluh Kab. Batu Bara",Pemkab,Batu Bara,21255,(0622)-697833,-,23/01/2018
3328079,01/01/2015,RS Ibu dan Anak Pala Raya,RSIA,C,dr. H. Arief Pinudjo,Jl. Pala Raya 11A Mejasem Barat Tegal Kec.Kramat,Swasta/Lainnya,Tegal,52112,0283-356009,0283-356009,23/01/2018
1471394,10/12/2015,RS Khusus  Mata SMEC Pekanbaru,RSK Mata,C,"dr. Herman, Sp.M",Jl Arifin Ahmad No. 92 Kecamatan Marpoyan Damai Kota Pekanbaru,Perusahaan,Kota Pekanbaru,-,0761-565686,-,23/01/2018
5108016,03/03/2013,RS Umum Daerah Kab. Buleleng,RSU,B,"dr. Gede Wiartana, M.Kes",Jl. Ngurah Rai 30 Singaraja,Pemkab,Buleleng,81112,0362-22046,0362-29629,22/01/2018
1609046,01/07/2015,RS Umum Panti Bhaktiningsih,RSU,D,"dr. Yanto Taslim, MARS",Tegalrejo Belitang Kab. OKU Timur,Organisasi Sosial,Ogan Komering Ulu Timur,32382,0735-450066,0735-452269,21/01/2018
1209021,26/01/2014,RS Umum Laras Kabupaten Simalungun,RSU,C,dr.Zulkarnaen,Jl Desa Naga Jaya I Kec. Bandar Huluan Kab.Simalungun,BUMN,Simalungun,21155,0622-64342,0622-64337,20/01/2018
